Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,Wkts,BBI,bowling_Ave,Econ,bowling_SR,4,5,Ct,St,num_years,matched_name,batsman_points,bowler_points,batsman_points_per_year,bowler_points_per_year
JF Mooney,2009-2010,7,6,2,82,31*,20.50,82,100.00,0,0,0,8,0,Ireland,-,-,-,-,-,-,-,-,-,5,0,2,John Mooney,104,0,52.0,0.0
TJ Murtagh,2014-2016,5,-,-,-,-,-,-,-,-,-,-,-,-,Ireland,13.5,0,2,1/20,64.00,9.25,41.5,0,0,1,0,2,NA,0,10,0.0,5.0
KJ O'Brien,2009-2016,15,13,2,199,42*,18.09,158,125.94,0,0,3,16,8,Ireland,30.0,0,9,2/17,25.88,7.76,20.0,0,0,6,0,5,Kevin OBrien,300,45,60.0,9.0
NJ O'Brien,2009-2016,11,10,2,161,40,20.12,150,107.33,0,0,0,14,4,Ireland,-,-,-,-,-,-,-,-,-,7,4,5,Kevin OBrien,232,0,46.4,0.0
WTS Porterfield,2009-2016,15,14,2,253,47,21.08,241,104.97,0,0,2,25,5,Ireland,-,-,-,-,-,-,-,-,-,7,0,5,William Porterfield,363,0,72.6,0.0
AD Poynter,2014-2016,6,5,1,95,57,23.75,69,137.68,0,1,1,8,5,Ireland,-,-,-,-,-,-,-,-,-,0,0,2,Andrew Poynter,159,0,79.5,0.0
WB Rankin,2009-2016,10,2,1,6,5*,6.00,10,60.00,0,0,0,0,0,Ireland,33.0,0,8,2/25,29.12,7.06,24.7,0,0,4,0,5,Boyd Rankin,4,40,0.8,8.0
MC Sorensen,2012-2016,6,2,0,9,9,4.50,8,112.50,0,0,1,0,0,Ireland,6.4,0,2,2/29,32.00,9.60,20.0,0,0,2,0,3,Max Sorensen,14,10,4.666666666666667,3.3333333333333335
PR Stirling,2009-2016,11,10,1,162,60,18.00,131,123.66,0,1,2,24,3,Ireland,14.0,1,2,2/12,51.50,7.35,42.0,0,0,1,0,5,Paul Stirling,262,20,52.4,4.0
GC Wilson,2009-2016,13,10,1,138,38,15.33,168,82.14,0,0,1,13,0,Ireland,-,-,-,-,-,-,-,-,-,4,1,5,Gary Wilson,175,0,35.0,0.0
Ahsan Malik,2014-2016,9,2,1,1,1*,1.00,3,33.33,0,0,1,0,0,Netherlands,25.5,0,12,5/19,14.25,6.61,12.9,0,1,2,0,2,Ahsan Malik,-1,85,-0.5,42.5
W Barresi,2014-2016,10,9,1,160,48,20.00,131,122.13,0,0,0,11,8,Netherlands,-,-,-,-,-,-,-,-,-,8,0,2,Wesley Barresi,246,0,123.0,0.0
