Player,num_years,bowler_points,bowler_points_per_year,Econ,bowling_SR,Wkts,bowling_Ave,country
Yuvraj Singh,6,60,10.0,7.26,15.8,12,19.16,India
JDP Oram,4,40,10.0,9.31,34.1,8,53.00,NewZealand
DJ Hussey,3,30,10.0,7.72,11.0,6,14.16,Australia
CM Wright,2,20,10.0,9.80,7.5,4,12.25,Scotland
RM Haq,2,20,10.0,9.25,12.0,4,18.50,Scotland
Taskin Ahmed,2,20,10.0,6.07,21.0,4,21.25,Bangladesh
E Chigumbura,6,55,9.166666666666666,8.50,7.5,8,10.62,Zimbabwe
LMP Simmons,5,45,9.0,9.16,6.0,6,9.16,WestIndies
Sohail Tanvir,5,45,9.0,7.38,29.3,9,36.11,Pakistan
JE Taylor,5,45,9.0,8.97,24.0,9,35.88,WestIndies
KJ O'Brien,5,45,9.0,7.76,20.0,9,25.88,Ireland
SJ Benn,5,45,9.0,7.08,48.8,7,57.71,WestIndies
Hamid Hassan,4,35,8.75,5.56,17.5,7,16.28,Afghanistan
