Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role
BP Patterson,6,2,2,4,4*,-,12,33.33,0,0,0,0,0,WestIndies,1987,56.0,2,253,14,3/31,18.07,4.51,24.0,0,0,1,0,WI,Bowler
BP Patterson,1,-,-,-,-,-,-,-,-,-,-,-,-,WestIndies,1992,10.0,0,25,1,1/25,25.00,2.50,60.0,0,0,1,0,WI,Bowler
A Ranatunga,5,5,2,252,86*,84.00,355,70.98,0,3,0,23,2,SriLanka,1987,8.0,0,58,0,-,-,7.25,-,0,0,1,0,SL,Batsman
A Ranatunga,8,7,2,262,88*,52.40,322,81.36,0,2,0,23,2,SriLanka,1992,18.0,0,94,3,2/26,31.33,5.22,36.0,0,0,1,0,SL,Batsman
A Ranatunga,6,6,4,241,75*,120.50,210,114.76,0,1,0,29,2,SriLanka,1996,11.0,0,68,2,2/31,34.00,6.18,33.0,0,0,1,0,SL,Batsman
A Ranatunga,5,5,0,134,50,26.80,191,70.15,0,1,0,13,1,SriLanka,1999,-,-,-,-,-,-,-,-,-,-,1,0,SL,Batsman
RB Richardson,6,6,0,271,110,45.16,380,71.31,1,2,1,25,3,WestIndies,1987,4.0,0,24,0,-,-,6.00,-,0,0,2,0,WI,Batsman
RB Richardson,8,8,1,132,56,18.85,265,49.81,0,1,0,5,2,WestIndies,1992,-,-,-,-,-,-,-,-,-,-,3,0,WI,Batsman
RB Richardson,6,6,2,236,93*,59.00,371,63.61,0,1,0,22,1,WestIndies,1996,-,-,-,-,-,-,-,-,-,-,1,0,WI,Batsman
KR Rutherford,5,5,0,204,75,40.80,276,73.91,0,1,0,15,4,NewZealand,1987,-,-,-,-,-,-,-,-,-,-,2,0,NZ,Batsman
KR Rutherford,9,7,2,212,65*,42.40,311,68.16,0,3,0,21,3,NewZealand,1992,1.4,0,11,0,-,-,6.60,-,0,0,3,0,NZ,Batsman
AJ Traicos,6,3,1,10,6,5.00,12,83.33,0,0,1,1,0,Zimbabwe,1987,58.0,2,218,6,2/27,36.33,3.75,58.0,0,0,0,0,ZIM,Bowler
AJ Traicos,8,5,3,35,16*,17.50,81,43.20,0,0,0,1,0,Zimbabwe,1992,62.0,5,253,6,3/35,42.16,4.08,62.0,0,0,0,0,ZIM,Bowler
CA Walsh,6,3,1,18,9*,9.00,17,105.88,0,0,0,2,0,WestIndies,1987,55.3,6,229,9,4/40,25.44,4.12,37.0,1,0,1,0,WI,Bowler
