Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
RJ Shastri,1983-1992,14,11,1,185,57,18.50,342,54.09,0,1,0,9+,1+,India
NS Sidhu,1987-1996,12,10,0,454,93,45.40,576,78.81,0,6,0,31,10,India
RR Singh,1999-1999,6,6,1,157,75,31.40,195,80.51,0,1,1,7,5,India
L Sivaramakrishnan,1987-1987,2,-,-,-,-,-,-,-,-,-,-,-,-,India
ED Solkar,1975-1975,3,2,0,21,13,10.50,44,47.72,0,0,0,2,0,India
S Sreesanth,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-,India
K Srikkanth,1983-1992,23,23,1,521,75,23.68,762,68.37,0,2,4,62+,4+,India
J Srinath,1992-2003,34,18,9,85,18,9.44,80,106.25,0,0,3,5,2,India
SR Tendulkar,1992-2011,45,44,4,2278,152,56.95,2560,88.98,6,15,2,241,27,India
RV Uthappa,2007-2007,3,3,0,30,18,10.00,48,62.50,0,0,0,4,0,India
DB Vengsarkar,1979-1987,11,10,3,252,63,36.00,332,75.90,0,1,1,15+,5+,India
S Venkataraghavan,1975-1979,6,4,3,49,26*,49.00,99,49.49,0,0,0,3,0,India
GR Viswanath,1975-1979,6,5,0,145,75,29.00,274,52.91,0,1,0,12,0,India
UT Yadav,2015-2015,8,1,0,0,0,0.00,5,0.00,0,0,1,0,0,India
Yashpal Sharma,1983-1983,8,8,1,240,89,34.28,375,64.00,0,2,0,17+,2+,India
Yuvraj Singh,2003-2011,23,21,7,738,113,52.71,817,90.33,1,7,2,68,13,India
RW Ali,1996-1996,6,2,2,6,6*,-,19,31.57,0,0,0,0,0,Kenya
JO Angara,1999-2003,4,2,1,6,6,6.00,7,85.71,0,0,0,1,0,Kenya
DN Chudasama,1996-1999,7,6,0,106,34,17.66,178,59.55,0,0,0,18,0,Kenya
SK Gupta,1999-1999,2,2,0,1,1,0.50,8,12.50,0,0,1,0,0,Kenya
IT Iqbal,1996-1996,3,2,0,17,16,8.50,52,32.69,0,0,0,2,0,Kenya
JK Kamande,1999-2011,10,7,1,56,22,9.33,123,45.52,0,0,0,5,1,Kenya
AY Karim,1996-2003,15,10,4,79,22,13.16,148,53.37,0,0,1,8,1,Kenya
T Mishra,2007-2011,8,8,1,170,72,24.28,261,65.13,0,2,2,16,1,Kenya
HS Modi,1996-2003,18,14,1,195,41,15.00,485,40.20,0,0,1,11,0,Kenya
JO Ngoche,2011-2011,3,2,1,10,9,10.00,24,41.66,0,0,0,0,1,Kenya
SO Ngoche,2011-2011,3,3,0,0,0,0.00,3,0.00,0,0,3,0,0,Kenya
AA Obanda,2011-2011,3,3,0,43,23,14.33,65,66.15,0,0,0,4,2,Kenya
CO Obuya,2003-2011,18,15,2,362,98*,27.84,528,68.56,0,2,1,27,9,Kenya
DO Obuya,2003-2011,10,10,1,81,51,9.00,189,42.85,0,1,2,6,0,Kenya
NN Odhiambo,2007-2011,7,5,2,56,44*,18.66,78,71.79,0,0,2,7,0,Kenya
TM Odoyo,1996-2011,25,23,4,463,51,24.36,680,68.08,0,1,3,46,10,Kenya
EO Odumbe,1996-1996,6,5,1,54,20,13.50,130,41.53,0,0,0,0,0,Kenya
MO Odumbe,1996-2003,19,18,3,452,82,30.13,618,73.13,0,3,2,35,2,Kenya
PJ Ongondo,2003-2011,14,12,1,97,24,8.81,136,71.32,0,0,2,6,2,Kenya
LN Onyango,1996-2007,3,3,0,39,23,13.00,53,73.58,0,0,0,2,1,Kenya
E Otieno,2011-2011,6,5,1,13,8,3.25,37,35.13,0,0,2,1,0,Kenya
KO Otieno,1996-2003,20,19,0,427,85,22.47,818,52.20,0,4,3,40,6,Kenya
MA Ouma,2007-2011,8,8,0,97,58,12.12,220,44.09,0,1,1,9,1,Kenya
BJ Patel,2003-2003,6,5,0,56,32,11.20,116,48.27,0,0,1,9,0,Kenya
RR Patel,2011-2011,4,4,1,46,24,15.33,73,63.01,0,0,1,5,0,Kenya
RD Shah,1999-2007,17,17,0,500,71,29.41,820,60.97,0,4,1,60,2,Kenya
M Sheikh,1999-1999,2,2,0,15,8,7.50,32,46.87,0,0,0,1,0,Kenya
AO Suji,1999-2007,9,5,1,28,14,7.00,54,51.85,0,0,0,2,0,Kenya
MA Suji,1996-2003,20,13,7,68,15*,11.33,124,54.83,0,0,3,3,1,Kenya
LO Tikolo,1996-1996,3,2,2,36,25*,-,75,48.00,0,0,0,2,1,Kenya
SO Tikolo,1996-2011,28,27,1,768,96,29.53,1128,68.08,0,8,1,78,10,Kenya
AV Vadher,1999-1999,5,5,2,141,73*,47.00,244,57.78,0,2,0,13,1,Kenya
HA Varaiya,2007-2007,3,2,2,5,4*,-,23,21.73,0,0,0,0,0,Kenya
SR Waters,2011-2011,4,4,0,38,17,9.50,90,42.22,0,0,0,3,0,Kenya
GJ Bailey,2015-2015,1,1,0,55,55,55.00,69,79.71,0,1,0,3,0,Australia
JP Behrendorff,2019-2019,5,3,1,12,11*,6.00,11,109.09,0,0,1,0,0,Australia
MG Bevan,1996-2003,26,18,6,537,74*,44.75,834,64.38,0,5,1,35,5,Australia
AJ Bichel,2003-2003,8,3,2,117,64,117.00,140,83.57,0,1,0,10,3,Australia
DC Boon,1987-1992,16,16,1,815,100,54.33,1117,72.96,2,5,0,72,5,Australia
AR Border,1979-1992,25,24,0,452,67,18.83,640,70.62,0,1,2,39,0,Australia
NW Bracken,2007-2007,10,-,-,-,-,-,-,-,-,-,-,-,-,Australia
