Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role
RJ Peterson,2003-2011,10,7,5,55,22*,27.5,53,103.77,0,0,1,8,1,SouthAfrica,74,5,320,16,4/12,20,4.32,27.7,1,0,7,0,3,Bowler
SM Pollock,1996-2007,31,20,4,279,52,17.43,369,75.6,0,1,1,13,4,SouthAfrica,269,37,970,31,5/36,31.29,3.6,52,0,1,12,0,4,All Rounder
GC Smith,2003-2011,20,20,1,747,91,39.31,865,86.35,0,6,0,84,6,SouthAfrica,26,0,162,4,2/56,40.5,6.23,39,0,0,15,0,3,Batsman
DW Steyn,2011-2015,14,4,0,45,20,11.25,73,61.64,0,0,0,7,0,SouthAfrica,115,10,538,23,5/50,23.39,4.67,30,0,1,4,0,2,Bowler
MS Atapattu,1999-2003,15,15,3,521,124,43.41,657,79.29,2,3,1,62,0,SriLanka,-,-,-,-,-,-,-,-,-,-,3,0,2,Batsman
PA de Silva,1987-2003,35,32,3,1064,145,36.68,1229,86.57,2,6,2,107,15,SriLanka,135,2,671,16,3/42,41.93,4.97,50.6,0,0,14,0,5,All Rounder
TM Dilshan,2007-2015,27,25,4,1112,161*,52.95,1196,92.97,4,4,2,122,9,SriLanka,101.1,5,447,18,4/4,24.83,4.41,33.7,1,0,12,0,3,All Rounder
ST Jayasuriya,1992-2007,38,37,3,1165,120,34.26,1285,90.66,3,6,0,120,27,SriLanka,219.1,4,1060,27,3/12,39.25,4.83,48.7,0,0,18,0,5,All Rounder
DPMD Jayawardene,1999-2015,40,34,3,1100,115*,35.48,1280,85.93,4,5,3,99,12,SriLanka,24,0,131,2,2/56,65.5,5.45,72,0,0,16,0,5,Batsman
RS Kaluwitharana,1996-1999,11,11,1,163,57,16.3,178,91.57,0,1,2,23,2,SriLanka,-,-,-,-,-,-,-,-,-,-,8,4,2,Wicket Keeper
SL Malinga,2007-2019,29,13,2,33,10,3,59,55.93,0,0,1,2,2,SriLanka,232.2,11,1281,56,6/38,22.87,5.51,24.8,2,1,5,0,4,Bowler
AD Mathews,2011-2019,22,17,3,533,113,38.07,621,85.82,1,2,3,41,12,SriLanka,73.4,1,384,13,3/41,29.53,5.21,34,0,0,4,0,3,All Rounder
M Muralitharan,1996-2011,40,13,5,69,16,8.62,71,97.18,0,0,0,8,1,SriLanka,343.3,15,1335,68,4/19,19.63,3.88,30.3,4,0,13,0,5,Bowler
A Ranatunga,1983-1999,30,29,8,969,88*,46.14,1197,80.95,0,7,3,99,7,SriLanka,81.1,2,460,6,2/26,76.66,5.66,81.1,0,0,7,0,5,Batsman
KC Sangakkara,2003-2015,37,35,8,1532,124,56.74,1770,86.55,5,7,1,147,14,SriLanka,-,-,-,-,-,-,-,-,-,-,41,13,4,Wicket Keeper
LPC Silva,2007-2011,18,14,2,427,64,35.58,562,75.97,0,5,0,36,4,SriLanka,3,0,12,0,-,-,4,-,0,0,6,0,2,Batsman
WU Tharanga,2007-2015,21,21,2,697,133,36.68,923,75.51,2,4,1,79,4,SriLanka,-,-,-,-,-,-,-,-,-,-,4,0,3,Batsman
HDRL Thirimanne,2015-2019,12,12,2,445,139*,44.5,519,85.74,1,3,1,40,2,SriLanka,-,-,-,-,-,-,-,-,-,-,4,0,2,Batsman
WPUJC Vaas,1996-2007,31,18,8,219,29*,21.9,296,73.98,0,0,1,16,4,SriLanka,261.4,39,1040,49,6/25,21.22,3.97,32,1,1,7,0,4,Bowler
GP Wickramasinghe,1992-1999,17,8,6,53,21*,26.5,91,58.24,0,0,0,2,0,SriLanka,136.1,8,625,16,3/30,39.06,4.58,51,0,0,4,0,3,Bowler
CEL Ambrose,1992-1999,17,10,2,48,15*,6,89,53.93,0,0,0,3,1,WestIndies,164.3,20,499,24,3/28,20.79,3.03,41.1,0,0,1,0,3,Bowler
WKM Benjamin,1987-1992,13,10,5,69,24*,13.8,81,85.18,0,0,2,5,0,WestIndies,123,10,515,14,3/27,36.78,4.18,52.7,0,0,4,0,2,Bowler
SJ Benn,2011-2015,9,7,2,26,9*,5.2,42,61.9,0,0,0,3,0,WestIndies,76.5,4,422,14,4/18,30.14,5.49,32.9,2,0,2,0,2,Bowler
DJ Bravo,2007-2011,10,9,2,169,40,24.14,195,86.66,0,0,0,11,5,WestIndies,67,4,373,13,3/42,28.69,5.56,30.9,0,0,5,0,2,All Rounder
S Chanderpaul,1996-2011,31,28,4,970,102*,40.41,1561,62.13,1,7,0,82,13,WestIndies,2,0,6,0,-,-,3,-,0,0,7,0,5,Batsman
M Dillon,1999-2003,10,5,0,28,10,5.6,51,54.9,0,0,1,1,1,WestIndies,86,4,332,13,4/46,25.53,3.86,39.6,1,0,4,0,2,Bowler
CH Gayle,2003-2019,35,34,1,1186,215,35.93,1310,90.53,2,6,2,116,49,WestIndies,132.1,3,652,16,2/21,40.75,4.93,49.5,0,0,17,0,5,All Rounder
RA Harper,1987-1996,14,13,2,118,24,10.72,155,76.12,0,0,1,11,2,WestIndies,132,10,488,18,4/47,27.11,3.69,44,1,0,6,0,3,All Rounder
DL Haynes,1979-1992,25,25,2,854,105,37.13,1485,57.5,1,3,0,67+,4+,WestIndies,-,-,-,-,-,-,-,-,-,-,12,0,4,Batsman
JO Holder,2015-2019,16,11,1,325,57,32.5,294,110.54,0,3,1,28,17,WestIndies,119.1,10,694,17,4/27,40.82,5.82,42,1,0,9,0,2,All Rounder
CL Hooper,1987-2003,20,18,4,261,63,18.64,369,70.73,0,1,2,16,2,WestIndies,154,3,659,18,3/42,36.61,4.27,51.3,0,0,13,0,5,All Rounder
RD Jacobs,1999-2003,11,8,4,270,80*,67.5,500,54,0,3,1,21,4,WestIndies,-,-,-,-,-,-,-,-,-,-,21,1,2,Wicket Keeper
BC Lara,1992-2007,34,33,4,1225,116,42.24,1420,86.26,2,7,1,124+,17+,WestIndies,-,-,-,-,-,-,-,-,-,-,16,0,5,Batsman
BP Patterson,1987-1992,7,2,2,4,4*,-,12,33.33,0,0,0,0,0,WestIndies,66,2,278,15,3/31,18.53,4.21,26.4,0,0,2,0,2,Bowler
D Ramdin,2007-2015,16,12,2,191,52,19.1,245,77.95,0,2,2,20,0,WestIndies,-,-,-,-,-,-,-,-,-,-,26,0,3,Wicket Keeper
RB Richardson,1987-1996,20,20,3,639,110,37.58,1016,62.89,1,4,1,52,6,WestIndies,4,0,24,0,-,-,6,-,0,0,6,0,3,Batsman
KAJ Roach,2011-2019,13,7,3,47,16,11.75,106,44.33,0,0,1,5,1,WestIndies,101,7,466,20,6/27,23.3,4.61,30.3,0,1,0,0,3,Bowler
AD Russell,2011-2019,14,12,2,192,49,19.2,143,134.26,0,0,3,12,15,WestIndies,100.1,9,576,23,4/49,25.04,5.75,26.1,1,0,4,0,3,All Rounder
RR Sarwan,2003-2011,21,20,4,739,92,46.18,974,75.87,0,3,0,71,10,WestIndies,13,1,73,2,1/17,36.5,5.61,39,0,0,3,0,3,Batsman
DS Smith,2007-2011,10,10,0,399,107,39.9,536,74.44,1,3,0,42,2,WestIndies,0.5,0,5,0,-,-,6,-,0,0,1,0,2,Batsman
JE Taylor,2007-2015,14,7,1,74,15*,12.33,89,83.14,0,0,0,9,0,WestIndies,121.3,5,634,23,3/15,27.56,5.21,31.6,0,0,1,0,3,Bowler
CA Walsh,1987-1999,17,8,3,37,9*,7.4,49,75.51,0,0,1,6,0,WestIndies,158,23,547,27,4/25,20.25,3.46,35.1,2,0,3,0,4,Bowler
EA Brandes,1987-1999,16,12,4,120,23,15,163,73.61,0,0,1,8,4,Zimbabwe,129.1,11,641,16,4/21,40.06,4.96,48.4,1,0,5,0,4,Bowler
CR Ervine,2011-2015,12,12,0,390,85,32.5,449,86.85,0,4,1,36,8,Zimbabwe,-,-,-,-,-,-,-,-,-,-,5,0,2,Batsman
DL Houghton,1983-1992,20,19,0,567,142,29.84,900,63,1,4,3,47,8,Zimbabwe,2,0,19,1,1/19,19,9.5,12,0,0,14,2,3,Batsman
CB Mpofu,2007-2011,7,5,1,7,3*,1.75,31,22.58,0,0,1,0,0,Zimbabwe,56,6,325,11,4/62,29.54,5.8,30.5,1,0,1,0,2,Bowler
HK Olonga,1999-2003,9,6,4,16,5*,8,61,26.22,0,0,0,1,0,Zimbabwe,43.2,2,259,9,3/22,28.77,5.97,28.8,0,0,1,0,2,Bowler
PA Strang,1996-1999,12,9,3,109,29,18.16,166,65.66,0,0,1,9,2,Zimbabwe,86.4,6,388,15,5/21,25.86,4.47,34.6,1,1,2,0,2,All Rounder
HH Streak,1996-2003,22,18,7,328,72*,29.81,447,73.37,0,1,1,24,4,Zimbabwe,175,13,804,22,3/35,36.54,4.59,47.7,0,0,7,0,3,Bowler
BRM Taylor,2007-2015,15,15,0,690,138,46,778,88.68,2,3,1,68,14,Zimbabwe,3,0,23,0,-,-,7.66,-,0,0,8,1,3,Wicket Keeper
AJ Traicos,1983-1992,20,12,5,70,19,10,136,51.47,0,0,1,3,0,Zimbabwe,188,13,673,16,3/35,42.06,3.57,70.5,0,0,2,0,3,Bowler
SC Williams,2007-2015,11,11,2,492,96,54.66,486,101.23,0,5,0,42,8,Zimbabwe,71,2,405,9,3/72,45,5.7,47.3,0,0,6,0,3,All Rounder
A Bagai,2003-2011,15,15,2,343,84,26.38,556,61.69,0,2,1,38,0,Canada,-,-,-,-,-,-,-,-,-,-,19,2,3,Wicket Keeper
JM Davison,2003-2011,14,14,1,340,111,26.15,308,110.38,1,2,3,41,13,Canada,106,7,514,17,3/15,30.23,4.84,37.4,0,0,8,0,3,Bowler
