Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
Shafiuddin Ahmed,1999-1999,1,1,8.0,0,26,1,1/26,26.00,3.25,48.0,0,0,0,0,Bangladesh
Shafiul Islam,2011-2011,6,6,39.2,4,203,6,4/21,33.83,5.16,39.3,1,0,1,0,Bangladesh
Shahadat Hossain,2007-2007,1,1,9.0,1,51,0,-,-,5.66,-,0,0,0,0,Bangladesh
Shahriar Hossain,1999-1999,3,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh
Shahriar Nafees,2007-2011,8,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh
Shakib Al Hasan,2007-2019,29,29,238.5,2,1222,34,5/29,35.94,5.11,42.1,1,1,8,0,Bangladesh
Sohrawordi Shuvo,2011-2011,1,1,10.0,1,33,1,1/33,33.00,3.30,60.0,0,0,0,0,Bangladesh
Soumya Sarkar,2015-2019,14,4,21.0,0,123,4,3/58,30.75,5.85,31.5,0,0,13,0,Bangladesh
Syed Rasel,2007-2007,7,7,62.0,7,239,8,2/25,29.87,3.85,46.5,0,0,1,0,Bangladesh
Taijul Islam,2015-2015,1,1,10.0,0,58,0,-,-,5.80,-,0,0,0,0,Bangladesh
Talha Jubair,2003-2003,2,2,10.0,0,70,0,-,-,7.00,-,0,0,0,0,Bangladesh
Tamim Iqbal,2007-2019,29,-,-,-,-,-,-,-,-,-,-,-,12,0,Bangladesh
Tapash Baisya,2003-2007,5,5,24.5,1,160,2,1/22,80.00,6.44,74.5,0,0,1,0,Bangladesh
Taskin Ahmed,2015-2015,6,6,51.0,1,325,9,3/43,36.11,6.37,34.0,0,0,2,0,Bangladesh
Tushar Imran,2003-2003,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
MM Ali,2015-2019,10,9,81.0,0,431,9,3/50,47.88,5.32,54.0,0,0,3,0,England
PJW Allott,1983-1983,7,7,80.3,10,335,8,3/41,41.87,4.16,60.3,0,0,1,0,England
DL Amiss,1975-1975,4,-,-,-,-,-,-,-,-,-,-,-,1,0,England
JM Anderson,2003-2015,25,25,209.0,9,1081,27,4/25,40.03,5.17,46.4,2,0,2,0,England
JC Archer,2019-2019,11,11,100.5,8,461,20,3/27,23.05,4.57,30.2,0,0,2,0,England
GG Arnold,1975-1975,3,3,29.4,7,70,3,1/15,23.33,2.35,59.3,0,0,1,0,England
MA Atherton,1996-1996,6,-,-,-,-,-,-,-,-,-,-,-,0,0,England
CWJ Athey,1987-1987,6,1,1.0,0,10,0,-,-,10.00,-,0,0,4,0,England
ID Austin,1999-1999,2,2,18.4,1,66,3,2/25,22.00,3.53,37.3,0,0,0,0,England
JM Bairstow,2019-2019,11,-,-,-,-,-,-,-,-,-,-,-,9,0,England
GS Ballance,2015-2015,4,-,-,-,-,-,-,-,-,-,-,-,1,0,England
IR Bell,2007-2015,21,-,-,-,-,-,-,-,-,-,-,-,4,0,England
ID Blackwell,2003-2003,2,1,10.0,0,37,2,2/37,18.50,3.70,30.0,0,0,0,0,England
RS Bopara,2007-2015,14,7,36.4,4,150,6,2/22,25.00,4.09,36.6,0,0,3,0,England
IT Botham,1979-1992,22,22,222.0,33,762,30,4/31,25.40,3.43,44.4,1,0,10,0,England
G Boycott,1979-1979,5,5,27.0,1,94,5,2/14,18.80,3.48,32.4,0,0,0,0,England
JM Brearley,1979-1979,5,-,-,-,-,-,-,-,-,-,-,-,4,0,England
TT Bresnan,2011-2011,7,7,63.0,5,309,9,5/48,34.33,4.90,42.0,0,1,1,0,England
BC Broad,1987-1987,3,1,1.0,0,6,0,-,-,6.00,-,0,0,1,0,England
SCJ Broad,2007-2015,10,10,79.0,5,439,10,4/15,43.90,5.55,47.4,1,0,3,0,England
JC Buttler,2015-2019,17,-,-,-,-,-,-,-,-,-,-,-,20,2,England
AR Caddick,2003-2003,5,5,44.0,8,178,8,4/35,22.25,4.04,33.0,1,0,0,0,England
PD Collingwood,2003-2011,18,14,85.0,0,423,8,2/33,52.87,4.97,63.7,0,0,13,0,England
DG Cork,1996-1996,5,5,48.0,2,216,8,2/33,27.00,4.50,36.0,0,0,2,0,England
NG Cowans,1983-1983,1,1,12.0,3,31,2,2/31,15.50,2.58,36.0,0,0,1,0,England
RDB Croft,1999-1999,2,2,12.0,1,45,1,1/32,45.00,3.75,72.0,0,0,0,0,England
JWM Dalrymple,2007-2007,3,3,10.0,0,69,0,-,-,6.90,-,0,0,3,0,England
PAJ DeFreitas,1987-1996,22,22,187.5,30,742,29,3/28,25.58,3.95,38.8,0,0,5,0,England
MH Denness,1975-1975,4,-,-,-,-,-,-,-,-,-,-,-,0,0,England
GR Dilley,1983-1983,6,6,66.0,4,243,7,4/45,34.71,3.68,56.5,1,0,1,0,England
PR Downton,1987-1987,8,-,-,-,-,-,-,-,-,-,-,-,8,1,England
MA Ealham,1999-1999,5,5,50.0,5,191,10,2/28,19.10,3.82,30.0,0,0,1,0,England
PH Edmonds,1979-1979,3,3,26.0,3,73,3,2/40,24.33,2.80,52.0,0,0,0,0,England
JE Emburey,1987-1987,8,8,79.0,4,295,6,2/26,49.16,3.73,79.0,0,0,3,0,England
NH Fairbrother,1992-1999,19,-,-,-,-,-,-,-,-,-,-,-,8,0,England
ST Finn,2015-2015,4,4,29.0,3,200,8,5/71,25.00,6.89,21.7,0,1,0,0,England
KWR Fletcher,1975-1975,4,-,-,-,-,-,-,-,-,-,-,-,1,0,England
A Flintoff,1999-2007,18,17,135.4,12,534,23,4/43,23.21,3.93,35.3,1,0,6,0,England
NA Foster,1987-1987,7,7,70.0,1,313,9,3/47,34.77,4.47,46.6,0,0,1,0,England
G Fowler,1983-1983,7,-,-,-,-,-,-,-,-,-,-,-,0,0,England
ARC Fraser,1999-1999,3,3,30.0,2,111,1,1/27,111.00,3.70,180.0,0,0,3,0,England
MW Gatting,1983-1987,15,2,12.0,3,48,1,1/35,48.00,4.00,72.0,0,0,3,0,England
AF Giles,2003-2003,2,1,10.0,0,42,2,2/42,21.00,4.20,30.0,0,0,4,0,England
GA Gooch,1979-1992,21,7,23.0,2,115,1,1/42,115.00,5.00,138.0,0,0,3,0,England
D Gough,1996-1999,11,11,99.4,8,430,15,4/34,28.66,4.31,39.8,1,0,2,0,England
IJ Gould,1983-1983,7,-,-,-,-,-,-,-,-,-,-,-,11,1,England
DI Gower,1979-1983,12,-,-,-,-,-,-,-,-,-,-,-,2,0,England
AW Greig,1975-1975,4,3,31.0,2,89,6,4/45,14.83,2.87,31.0,1,0,0,0,England
AD Hales,2015-2015,2,-,-,-,-,-,-,-,-,-,-,-,0,0,England
FC Hayes,1975-1975,3,-,-,-,-,-,-,-,-,-,-,-,0,0,England
EE Hemmings,1987-1987,6,6,59.3,4,274,13,4/52,21.07,4.60,27.4,1,0,2,0,England
M Hendrick,1979-1979,5,5,56.0,14,149,10,4/15,14.90,2.66,33.6,1,0,3,0,England
GA Hick,1992-1999,20,7,37.2,0,208,5,2/44,41.60,5.57,44.8,0,0,12,0,England
AJ Hollioake,1999-1999,3,3,18.0,0,90,1,1/21,90.00,5.00,108.0,0,0,0,0,England
N Hussain,1999-2003,9,-,-,-,-,-,-,-,-,-,-,-,4,0,England
RK Illingworth,1992-1996,10,10,98.1,6,424,12,3/33,35.33,4.31,49.0,0,0,3,0,England
RC Irani,2003-2003,2,2,14.0,0,58,3,3/30,19.33,4.14,28.0,0,0,0,0,England
JA Jameson,1975-1975,2,1,2.0,1,3,0,-,-,1.50,-,0,0,0,0,England
CJ Jordan,2015-2015,2,2,16.2,2,72,4,2/13,18.00,4.40,24.5,0,0,2,0,England
EC Joyce,2007-2007,5,-,-,-,-,-,-,-,-,-,-,-,3,0,England
NV Knight,2003-2003,5,-,-,-,-,-,-,-,-,-,-,-,3,0,England
APE Knott,1975-1975,4,-,-,-,-,-,-,-,-,-,-,-,1,0,England
AJ Lamb,1983-1992,19,1,1.0,0,3,0,-,-,3.00,-,0,0,9,0,England
W Larkins,1979-1979,2,1,2.0,0,21,0,-,-,10.50,-,0,0,0,0,England
P Lever,1975-1975,4,4,36.0,3,92,5,3/32,18.40,2.55,43.2,0,0,1,0,England
CC Lewis,1992-1992,9,6,50.4,5,214,7,4/30,30.57,4.22,43.4,1,0,4,0,England
SI Mahmood,2007-2007,6,6,48.0,3,259,8,4/50,32.37,5.39,36.0,1,0,0,0,England
VJ Marks,1983-1983,7,7,78.0,9,246,13,5/39,18.92,3.15,36.0,0,1,2,0,England
PJ Martin,1996-1996,5,5,44.0,2,198,6,3/33,33.00,4.50,44.0,0,0,0,0,England
G Miller,1979-1979,1,1,2.0,1,1,0,-,-,0.50,-,0,0,0,0,England
EJG Morgan,2011-2019,20,-,-,-,-,-,-,-,-,-,-,-,9,0,England
AD Mullally,1999-1999,5,5,50.0,6,176,10,4/37,17.60,3.52,30.0,1,0,0,0,England
PA Nixon,2007-2007,9,-,-,-,-,-,-,-,-,-,-,-,7,2,England
CM Old,1975-1979,9,9,90.3,18,243,16,4/8,15.18,2.68,33.9,1,0,2,0,England
MS Panesar,2007-2007,8,8,64.0,4,283,7,3/25,40.42,4.42,54.8,0,0,0,0,England
KP Pietersen,2007-2011,13,3,11.0,0,51,0,-,-,4.63,-,0,0,3,0,England
LE Plunkett,2007-2019,10,10,79.0,0,432,15,3/42,28.80,5.46,31.6,0,0,2,0,England
DR Pringle,1987-1992,11,11,90.4,15,366,8,3/8,45.75,4.03,68.0,0,0,2,0,England
MJ Prior,2011-2011,7,-,-,-,-,-,-,-,-,-,-,-,7,3,England
DW Randall,1979-1979,5,-,-,-,-,-,-,-,-,-,-,-,1,0,England
AU Rashid,2019-2019,11,11,92.0,0,526,11,3/54,47.81,5.71,50.1,0,0,3,0,England
DA Reeve,1992-1996,11,10,45.2,5,177,9,3/38,19.66,3.90,30.2,0,0,5,0,England
RT Robinson,1987-1987,7,-,-,-,-,-,-,-,-,-,-,-,1,0,England
JE Root,2015-2019,17,7,19.0,0,111,3,2/27,37.00,5.84,38.0,0,0,20,0,England
JJ Roy,2019-2019,8,-,-,-,-,-,-,-,-,-,-,-,1,0,England
RC Russell,1996-1996,6,-,-,-,-,-,-,-,-,-,-,-,7,1,England
A Shahzad,2011-2011,2,2,18.0,0,96,3,3/43,32.00,5.33,36.0,0,0,0,0,England
GC Small,1987-1992,13,13,103.0,5,458,11,2/29,41.63,4.44,56.1,0,0,0,0,England
NMK Smith,1996-1996,3,3,25.3,2,96,4,3/29,24.00,3.76,38.2,0,0,1,0,England
RA Smith,1992-1996,10,-,-,-,-,-,-,-,-,-,-,-,4,0,England
JA Snow,1975-1975,3,3,36.0,8,65,6,4/11,10.83,1.80,36.0,1,0,0,0,England
AJ Stewart,1992-2003,25,-,-,-,-,-,-,-,-,-,-,-,21,2,England
BA Stokes,2019-2019,11,11,50.5,1,246,7,3/23,35.14,4.83,43.5,0,0,3,0,England
AJ Strauss,2007-2011,11,-,-,-,-,-,-,-,-,-,-,-,3,0,England
GP Swann,2011-2011,7,7,68.0,5,309,12,3/36,25.75,4.54,34.0,0,0,1,0,England
CJ Tavare,1983-1983,7,-,-,-,-,-,-,-,-,-,-,-,2,0,England
RW Taylor,1979-1979,5,-,-,-,-,-,-,-,-,-,-,-,4,0,England
JWA Taylor,2015-2015,6,-,-,-,-,-,-,-,-,-,-,-,0,0,England
GP Thorpe,1996-1999,11,2,8.0,0,45,0,-,-,5.62,-,0,0,11,0,England
JC Tredwell,2011-2015,3,3,23.0,2,111,5,4/48,22.20,4.82,27.6,1,0,1,0,England
CT Tremlett,2011-2011,2,2,12.3,0,85,0,-,-,6.80,-,0,0,1,0,England
ME Trescothick,2003-2003,5,-,-,-,-,-,-,-,-,-,-,-,2,0,England
IJL Trott,2011-2011,7,-,-,-,-,-,-,-,-,-,-,-,0,0,England
PCR Tufnell,1992-1992,4,4,28.0,2,133,3,2/36,44.33,4.75,56.0,0,0,0,0,England
DL Underwood,1975-1975,2,2,22.0,7,41,2,2/30,20.50,1.86,66.0,0,0,2,0,England
MP Vaughan,2003-2007,14,5,30.0,0,128,4,3/39,32.00,4.26,45.0,0,0,3,0,England
JM Vince,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,0,0,England
C White,1996-2003,7,7,51.3,6,202,9,3/33,22.44,3.92,34.3,0,0,1,0,England
RGD Willis,1979-1983,11,11,118.1,27,315,18,4/11,17.50,2.66,39.3,2,0,4,0,England
CR Woakes,2015-2019,16,16,122.4,7,680,21,3/20,32.38,5.54,35.0,0,0,9,0,England
B Wood,1975-1975,3,2,12.0,5,14,0,-,-,1.16,-,0,0,0,0,England
MA Wood,2019-2019,10,10,89.4,2,463,18,3/18,25.72,5.16,29.8,0,0,0,0,England
LJ Wright,2011-2011,2,2,8.0,0,35,0,-,-,4.37,-,0,0,0,0,England
MH Yardy,2011-2011,3,3,26.0,1,159,2,1/46,79.50,6.11,78.0,0,0,1,0,England
A Balbirnie,2015-2015,6,-,-,-,-,-,-,-,-,-,-,-,0,0,Ireland
AC Botha,2007-2011,9,9,68.0,8,269,9,3/32,29.88,3.95,45.3,0,0,2,0,Ireland
JP Bray,2007-2007,9,-,-,-,-,-,-,-,-,-,-,-,2,0,Ireland
KED Carroll,2007-2007,1,1,1.0,0,8,0,-,-,8.00,-,0,0,1,0,Ireland
AR Cusack,2011-2015,9,9,55.5,4,280,7,4/32,40.00,5.01,47.8,1,0,3,0,Ireland
GH Dockrell,2011-2015,12,12,94.4,2,495,12,3/50,41.25,5.22,47.3,0,0,5,0,Ireland
PG Gillespie,2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Ireland
DT Johnston,2007-2011,13,12,93.4,5,498,16,2/16,31.12,5.31,35.1,0,0,8,0,Ireland
EC Joyce,2011-2015,12,-,-,-,-,-,-,-,-,-,-,-,3,0,Ireland
D Langford-Smith,2007-2007,9,9,66.0,4,291,7,2/27,41.57,4.40,56.5,0,0,3,0,Ireland
AR McBrine,2015-2015,3,3,28.0,1,145,3,2/63,48.33,5.17,56.0,0,0,0,0,Ireland
WK McCallan,2007-2007,9,8,58.4,3,233,10,2/12,23.30,3.97,35.2,0,0,0,0,Ireland
JF Mooney,2007-2015,14,14,95.0,5,580,14,4/63,41.42,6.10,40.7,1,0,4,0,Ireland
PJK Mooney,2007-2007,1,1,3.3,0,40,0,-,-,11.42,-,0,0,0,0,Ireland
EJG Morgan,2007-2007,9,-,-,-,-,-,-,-,-,-,-,-,7,0,Ireland
KJ O'Brien,2007-2015,20,16,84.5,1,623,13,4/71,47.92,7.34,39.1,1,0,7,0,Ireland
NJ O'Brien,2007-2015,21,-,-,-,-,-,-,-,-,-,-,-,14,1,Ireland
WTS Porterfield,2007-2015,21,-,-,-,-,-,-,-,-,-,-,-,14,0,Ireland
WB Rankin,2007-2011,15,15,114.2,6,639,15,3/32,42.60,5.58,45.7,0,0,2,0,Ireland
MC Sorensen,2015-2015,3,3,24.0,0,200,3,2/60,66.66,8.33,48.0,0,0,1,0,Ireland
PR Stirling,2011-2015,12,12,80.1,0,403,6,2/27,67.16,5.02,80.1,0,0,4,0,Ireland
SR Thompson,2015-2015,2,2,16.0,0,104,3,2/45,34.66,6.50,32.0,0,0,0,0,Ireland
AR White,2007-2011,10,6,23.1,1,112,3,2/45,37.33,4.83,46.3,0,0,4,0,Ireland
GC Wilson,2011-2015,10,-,-,-,-,-,-,-,-,-,-,-,4,0,Ireland
Adeel Raja,2003-2011,6,6,45.4,1,259,6,4/42,43.16,5.67,45.6,1,0,1,0,Netherlands
GJAF Aponso,1996-1996,5,5,40.2,0,257,2,1/57,128.50,6.37,121.0,0,0,0,0,Netherlands
PJ Bakker,1996-1996,5,5,43.0,2,215,3,2/51,71.66,5.00,86.0,0,0,0,0,Netherlands
W Barresi,2011-2011,6,-,-,-,-,-,-,-,-,-,-,-,2,1,Netherlands
PW Borren,2007-2011,9,5,36.0,0,240,4,1/28,60.00,6.66,54.0,0,0,3,0,Netherlands
Mudassar Bukhari,2011-2011,6,6,48.0,4,252,5,2/65,50.40,5.25,57.6,0,0,0,0,Netherlands
AF Buurman,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,3,0,Netherlands
PE Cantrell,1996-1996,5,5,31.0,0,170,3,1/18,56.66,5.48,62.0,0,0,0,0,Netherlands
NE Clarke,1996-1996,5,-,-,-,-,-,-,-,-,-,-,-,3,0,Netherlands
TLW Cooper,2011-2011,6,6,27.2,3,153,4,2/31,38.25,5.59,41.0,0,0,2,0,Netherlands
TN de Grooth,2011-2011,5,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands
TBM de Leede,1996-2007,14,14,90.5,1,544,14,4/35,38.85,5.98,38.9,1,0,3,0,Netherlands
JJ Esmeijer,2003-2003,4,4,31.0,0,154,0,-,-,4.96,-,0,0,3,0,Netherlands
EL Gouka,1996-1996,3,2,3.4,0,51,1,1/32,51.00,13.90,22.0,0,0,0,0,Netherlands
F Jansen,1996-1996,2,2,9.0,0,62,1,1/40,62.00,6.88,54.0,0,0,1,0,Netherlands
MBS Jonkman,2007-2007,2,2,11.1,2,57,2,2/22,28.50,5.10,33.5,0,0,0,0,Netherlands
AN Kervezee,2007-2011,8,-,-,-,-,-,-,-,-,-,-,-,5,0,Netherlands
JF Kloppenburg,2003-2003,5,5,38.2,0,168,7,4/42,24.00,4.38,32.8,1,0,1,0,Netherlands
BP Kruger,2011-2011,1,1,3.3,0,23,0,-,-,6.57,-,0,0,1,0,Netherlands
RP Lefebvre,1996-2003,9,9,75.0,6,273,7,2/38,39.00,3.64,64.2,0,0,3,0,Netherlands
BP Loots,2011-2011,4,4,27.4,0,207,2,1/44,103.50,7.48,83.0,0,0,0,0,Netherlands
SW Lubbers,1996-1996,4,4,36.0,0,187,5,3/48,37.40,5.19,43.2,0,0,1,0,Netherlands
Mohammad Kashif,2007-2007,1,1,7.0,2,29,2,2/29,14.50,4.14,21.0,0,0,0,0,Netherlands
HJC Mol,2003-2003,4,3,13.0,0,89,2,1/24,44.50,6.84,39.0,0,0,2,0,Netherlands
DJ Reekers,2007-2007,3,3,17.0,2,106,1,1/23,106.00,6.23,102.0,0,0,0,0,Netherlands
MMC Schewe,1996-1996,5,-,-,-,-,-,-,-,-,-,-,-,2,1,Netherlands
E Schiferli,2003-2003,6,6,49.0,5,261,4,2/43,65.25,5.32,73.5,0,0,1,0,Netherlands
RH Scholte,2003-2003,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands
PM Seelaar,2011-2011,6,6,59.4,4,306,8,3/45,38.25,5.12,44.7,0,0,2,0,Netherlands
J Smits,2003-2007,9,-,-,-,-,-,-,-,-,-,-,-,7,2,Netherlands
NA Statham,2003-2003,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands
WF Stelling,2007-2007,2,2,16.0,4,55,4,3/12,13.75,3.43,24.0,0,0,1,0,Netherlands
ES Szwarczynski,2007-2011,5,-,-,-,-,-,-,-,-,-,-,-,1,0,Netherlands
RN ten Doeschate,2007-2011,9,9,72.0,2,473,9,3/72,52.55,6.56,48.0,0,0,4,0,Netherlands
DLS van Bunge,2003-2007,9,6,17.1,0,145,6,3/16,24.16,8.44,17.1,0,0,3,0,Netherlands
KJJ van Noortwijk,1996-2003,9,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands
RF van Oosterom,1996-1996,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Netherlands
LP van Troost,2003-2007,8,3,7.0,0,81,1,1/59,81.00,11.57,42.0,0,0,1,0,Netherlands
BA Westdijk,2011-2011,3,3,23.0,0,173,1,1/56,173.00,7.52,138.0,0,0,0,0,Netherlands
B Zuiderent,1996-2011,18,-,-,-,-,-,-,-,-,-,-,-,9,0,Netherlands
AR Adams,2003-2003,7,7,57.4,3,347,10,4/44,34.70,6.01,34.6,1,0,1,0,NewZealand
GI Allott,1999-1999,9,9,87.4,7,325,20,4/37,16.25,3.70,26.3,2,0,1,0,NewZealand
CJ Anderson,2015-2015,9,9,36.1,1,234,14,3/18,16.71,6.47,15.5,0,0,3,0,NewZealand
NJ Astle,1996-2003,22,18,87.3,2,418,11,3/34,38.00,4.77,47.7,0,0,9,0,NewZealand
HK Bennett,2011-2011,4,4,24.1,0,132,6,4/16,22.00,5.46,24.1,1,0,0,0,NewZealand
SE Bond,2003-2007,16,16,147.4,21,518,30,6/23,17.26,3.50,29.5,0,1,6,0,NewZealand
SL Boock,1987-1987,4,4,32.4,2,156,4,2/42,39.00,4.77,49.0,0,0,2,0,NewZealand
TA Boult,2015-2019,19,19,184.0,18,850,39,5/27,21.79,4.61,28.3,3,1,8,0,NewZealand
JG Bracewell,1983-1987,7,7,59.0,2,310,1,1/66,310.00,5.25,354.0,0,0,1,0,NewZealand
CE Bulfin,1999-1999,1,1,6.0,0,31,0,-,-,5.16,-,0,0,0,0,NewZealand
MG Burgess,1979-1979,4,-,-,-,-,-,-,-,-,-,-,-,2,0,NewZealand
BL Cairns,1975-1983,11,11,115.2,16,436,14,3/36,31.14,3.78,49.4,0,0,4,0,NewZealand
CL Cairns,1992-2003,28,23,146.4,9,755,18,3/19,41.94,5.14,48.8,0,0,16,0,NewZealand
EJ Chatfield,1979-1987,13,13,131.3,16,524,14,2/24,37.42,3.98,56.3,0,0,2,0,NewZealand
RO Collinge,1975-1975,4,4,48.0,13,137,6,3/28,22.83,2.85,48.0,0,0,1,0,NewZealand
JV Coney,1979-1983,10,9,89.0,7,303,12,3/28,25.25,3.40,44.5,0,0,4,0,NewZealand
JJ Crowe,1983-1987,8,-,-,-,-,-,-,-,-,-,-,-,4,0,NewZealand
MD Crowe,1983-1992,21,5,18.0,2,116,1,1/15,116.00,6.44,108.0,0,0,8,0,NewZealand
C de Grandhomme,2019-2019,10,10,51.0,4,212,6,1/14,35.33,4.15,51.0,0,0,3,0,NewZealand
BA Edgar,1979-1983,8,-,-,-,-,-,-,-,-,-,-,-,5,0,NewZealand
GD Elliott,2015-2015,9,5,8.0,0,68,2,2/27,34.00,8.50,24.0,0,0,3,0,NewZealand
LH Ferguson,2019-2019,9,9,83.4,3,409,21,4/37,19.47,4.88,23.9,1,0,2,0,NewZealand
SP Fleming,1996-2007,33,1,2.0,0,8,1,1/8,8.00,4.00,12.0,0,0,12,0,NewZealand
JEC Franklin,2007-2011,15,13,79.2,7,410,11,3/74,37.27,5.16,43.2,0,0,4,0,NewZealand
PG Fulton,2007-2007,8,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand
LK Germon,1996-1996,6,-,-,-,-,-,-,-,-,-,-,-,2,1,NewZealand
MR Gillespie,2007-2007,2,2,12.1,1,109,0,-,-,8.95,-,0,0,1,0,NewZealand
MJ Greatbatch,1992-1992,7,1,1.0,0,5,0,-,-,5.00,-,0,0,4,0,NewZealand
MJ Guptill,2011-2019,27,-,-,-,-,-,-,-,-,-,-,-,13,0,NewZealand
BG Hadlee,1975-1975,1,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
DR Hadlee,1975-1975,4,4,46.0,5,162,8,3/21,20.25,3.52,34.5,0,0,0,0,NewZealand
RJ Hadlee,1975-1983,13,13,146.1,38,421,22,5/25,19.13,2.88,39.8,0,1,3,0,NewZealand
CZ Harris,1992-2003,28,27,194.2,10,861,32,4/7,26.90,4.43,36.4,1,0,7,0,NewZealand
MN Hart,1999-1999,1,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
BF Hastings,1975-1975,4,-,-,-,-,-,-,-,-,-,-,-,3,0,NewZealand
MJ Henry,2015-2019,11,11,97.3,7,478,16,4/47,29.87,4.90,36.5,1,0,3,0,NewZealand
MJ Horne,1999-1999,8,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand
PA Horne,1987-1987,1,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
JM How,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
GP Howarth,1975-1983,11,-,-,-,-,-,-,-,-,-,-,-,2,0,NewZealand
HJ Howarth,1975-1975,4,4,40.0,5,148,5,3/29,29.60,3.70,48.0,0,0,2,0,NewZealand
AH Jones,1987-1992,13,2,12.0,0,52,2,2/42,26.00,4.33,36.0,0,0,3,0,NewZealand
RJ Kennedy,1996-1996,3,3,21.0,2,88,4,2/36,22.00,4.19,31.5,0,0,1,0,NewZealand
GR Larsen,1992-1999,19,19,170.0,12,599,18,3/16,33.27,3.52,56.6,0,0,7,0,NewZealand
RT Latham,1992-1992,7,7,23.0,0,136,1,1/35,136.00,5.91,138.0,0,0,3,0,NewZealand
TWM Latham,2019-2019,10,-,-,-,-,-,-,-,-,-,-,-,21,0,NewZealand
WK Lees,1979-1983,8,-,-,-,-,-,-,-,-,-,-,-,10,0,NewZealand
MJ McClenaghan,2015-2015,1,1,8.0,0,68,0,-,-,8.50,-,0,0,0,0,NewZealand
BB McCullum,2003-2015,34,-,-,-,-,-,-,-,-,-,-,-,32,2,NewZealand
NL McCullum,2011-2011,8,8,50.0,1,241,8,3/24,30.12,4.82,37.5,0,0,3,0,NewZealand
AJ McKay,2011-2011,1,1,9.5,1,37,1,1/37,37.00,3.76,59.0,0,0,0,0,NewZealand
BJ McKechnie,1975-1979,8,8,89.5,9,304,13,3/24,23.38,3.38,41.4,0,0,2,0,NewZealand
CD McMillan,1999-2007,25,7,26.3,1,133,3,3/23,44.33,5.01,53.0,0,0,4,0,NewZealand
HJH Marshall,2007-2007,3,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
MJ Mason,2007-2007,5,5,27.3,3,134,3,2/29,44.66,4.87,55.0,0,0,2,0,NewZealand
KD Mills,2003-2011,4,4,26.4,2,106,6,2/2,17.66,3.97,26.6,0,0,0,0,NewZealand
AF Milne,2015-2015,6,6,39.2,1,199,5,2/56,39.80,5.05,47.2,0,0,4,0,NewZealand
DK Morrison,1987-1996,11,11,79.0,2,396,8,3/42,49.50,5.01,59.2,0,0,2,0,NewZealand
JFM Morrison,1975-1979,6,2,8.0,0,31,0,-,-,3.87,-,0,0,3,0,NewZealand
C Munro,2019-2019,6,1,1.0,0,9,0,-,-,9.00,-,0,0,2,0,NewZealand
DJ Nash,1996-1999,13,13,116.0,15,473,9,3/26,52.55,4.07,77.3,0,0,3,0,NewZealand
JDS Neesham,2019-2019,10,9,54.3,2,292,15,5/31,19.46,5.35,21.8,0,1,4,0,NewZealand
HM Nicholls,2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
JDP Oram,2003-2011,23,23,182.2,21,768,36,4/39,21.33,4.21,30.3,2,0,13,0,NewZealand
JM Parker,1975-1975,4,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
AC Parore,1996-1999,14,-,-,-,-,-,-,-,-,-,-,-,7,0,NewZealand
DN Patel,1987-1996,17,16,140.0,9,556,13,3/36,42.76,3.97,64.6,0,0,3,0,NewZealand
JS Patel,2007-2007,6,6,54.2,2,245,7,3/25,35.00,4.50,46.5,0,0,1,0,NewZealand
L Ronchi,2015-2015,9,-,-,-,-,-,-,-,-,-,-,-,12,1,NewZealand
KR Rutherford,1987-1992,14,1,1.4,0,11,0,-,-,6.60,-,0,0,5,0,NewZealand
JD Ryder,2011-2011,7,5,14.1,0,81,1,1/15,81.00,5.71,85.0,0,0,4,0,NewZealand
MJ Santner,2019-2019,10,9,67.0,4,323,6,2/34,53.83,4.82,67.0,0,0,3,0,NewZealand
MS Sinclair,2003-2003,1,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand
IDS Smith,1983-1992,17,-,-,-,-,-,-,-,-,-,-,-,9,0,NewZealand
MC Snedden,1983-1987,9,9,81.5,6,455,10,2/36,45.50,5.56,49.1,0,0,2,0,NewZealand
