Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
BS Sandhu,1983-1983,8,8,83.0,10,297,8,2/26,37.12,3.57,62.2,0,0,2,0,India
V Sehwag,2003-2011,22,9,32.0,2,120,4,2/17,30.00,3.75,48.0,0,0,11,0,India
V Shankar,2019-2019,3,1,5.2,0,22,2,2/22,11.00,4.12,16.0,0,0,2,0,India
C Sharma,1987-1987,4,4,36.1,2,170,6,3/51,28.33,4.70,36.1,0,0,0,0,India
MM Sharma,2015-2015,8,8,63.0,4,314,13,3/48,24.15,4.98,29.0,0,0,2,0,India
RG Sharma,2015-2019,17,1,3.0,0,21,0,-,-,7.00,-,0,0,7,0,India
RJ Shastri,1983-1992,14,12,92.3,2,389,12,3/26,32.41,4.20,46.2,0,0,6,0,India
NS Sidhu,1987-1996,12,-,-,-,-,-,-,-,-,-,-,-,3,0,India
RR Singh,1999-1999,6,6,32.3,1,153,8,5/31,19.12,4.70,24.3,0,1,2,0,India
L Sivaramakrishnan,1987-1987,2,2,17.0,0,70,1,1/36,70.00,4.11,102.0,0,0,1,0,India
ED Solkar,1975-1975,3,2,4.0,0,28,0,-,-,7.00,-,0,0,1,0,India
S Sreesanth,2011-2011,2,2,13.0,0,105,0,-,-,8.07,-,0,0,0,0,India
K Srikkanth,1983-1992,23,2,2.1,0,15,0,-,-,6.92,-,0,0,9,0,India
J Srinath,1992-2003,34,33,283.2,21,1224,44,4/30,27.81,4.32,38.6,2,0,4,0,India
SR Tendulkar,1992-2011,45,25,120.0,1,539,8,2/28,67.37,4.49,90.0,0,0,12,0,India
RV Uthappa,2007-2007,3,-,-,-,-,-,-,-,-,-,-,-,1,0,India
DB Vengsarkar,1979-1987,11,-,-,-,-,-,-,-,-,-,-,-,3,0,India
S Venkataraghavan,1975-1979,6,6,72.0,7,217,0,-,-,3.01,-,0,0,1,0,India
GR Viswanath,1975-1979,6,-,-,-,-,-,-,-,-,-,-,-,0,0,India
UT Yadav,2015-2015,8,8,64.2,5,321,18,4/31,17.83,4.98,21.4,2,0,8,0,India
Yashpal Sharma,1983-1983,8,-,-,-,-,-,-,-,-,-,-,-,2,0,India
Yuvraj Singh,2003-2011,23,14,92.3,4,462,20,5/31,23.10,4.99,27.7,1,1,4,0,India
RW Ali,1996-1996,6,6,41.2,3,190,10,3/17,19.00,4.59,24.8,0,0,1,0,Kenya
JO Angara,1999-2003,4,4,32.0,1,203,5,2/50,40.60,6.34,38.4,0,0,1,0,Kenya
DN Chudasama,1996-1999,7,-,-,-,-,-,-,-,-,-,-,-,2,0,Kenya
SK Gupta,1999-1999,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Kenya
IT Iqbal,1996-1996,3,-,-,-,-,-,-,-,-,-,-,-,2,0,Kenya
JK Kamande,1999-2011,10,10,67.0,1,369,6,2/25,61.50,5.50,67.0,0,0,1,0,Kenya
AY Karim,1996-2003,15,14,106.2,10,439,8,3/7,54.87,4.12,79.7,0,0,2,0,Kenya
T Mishra,2007-2011,8,-,-,-,-,-,-,-,-,-,-,-,3,0,Kenya
HS Modi,1996-2003,18,-,-,-,-,-,-,-,-,-,-,-,5,0,Kenya
JO Ngoche,2011-2011,3,3,28.0,2,150,2,1/26,75.00,5.35,84.0,0,0,2,0,Kenya
SO Ngoche,2011-2011,3,2,14.0,0,85,1,1/46,85.00,6.07,84.0,0,0,0,0,Kenya
AA Obanda,2011-2011,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Kenya
CO Obuya,2003-2011,18,15,92.3,4,462,14,5/24,33.00,4.99,39.6,0,1,6,0,Kenya
DO Obuya,2003-2011,10,-,-,-,-,-,-,-,-,-,-,-,10,0,Kenya
NN Odhiambo,2007-2011,7,7,46.0,2,289,6,3/57,48.16,6.28,46.0,0,0,0,0,Kenya
TM Odoyo,1996-2011,25,24,169.0,12,817,23,4/28,35.52,4.83,44.0,1,0,1,0,Kenya
EO Odumbe,1996-1996,6,5,16.5,0,95,4,2/8,23.75,5.64,25.2,0,0,3,0,Kenya
MO Odumbe,1996-2003,19,16,116.5,9,567,18,4/38,31.50,4.85,38.9,1,0,3,0,Kenya
PJ Ongondo,2003-2011,14,14,92.2,4,453,9,2/44,50.33,4.90,61.5,0,0,1,0,Kenya
LN Onyango,1996-2007,3,3,14.0,0,108,1,1/63,108.00,7.71,84.0,0,0,1,0,Kenya
E Otieno,2011-2011,6,6,41.3,1,274,5,2/61,54.80,6.60,49.8,0,0,1,0,Kenya
KO Otieno,1996-2003,20,-,-,-,-,-,-,-,-,-,-,-,11,4,Kenya
MA Ouma,2007-2011,8,-,-,-,-,-,-,-,-,-,-,-,2,3,Kenya
BJ Patel,2003-2003,6,-,-,-,-,-,-,-,-,-,-,-,2,0,Kenya
RR Patel,2011-2011,4,-,-,-,-,-,-,-,-,-,-,-,2,0,Kenya
RD Shah,1999-2007,17,-,-,-,-,-,-,-,-,-,-,-,5,0,Kenya
M Sheikh,1999-1999,2,2,7.0,0,35,0,-,-,5.00,-,0,0,1,0,Kenya
AO Suji,1999-2007,9,7,32.0,1,170,1,1/45,170.00,5.31,192.0,0,0,5,0,Kenya
MA Suji,1996-2003,20,20,154.2,17,696,14,3/19,49.71,4.50,66.1,0,0,5,0,Kenya
LO Tikolo,1996-1996,3,3,8.0,0,55,0,-,-,6.87,-,0,0,2,0,Kenya
SO Tikolo,1996-2011,28,17,95.3,3,512,15,3/14,34.13,5.36,38.2,0,0,10,0,Kenya
AV Vadher,1999-1999,5,-,-,-,-,-,-,-,-,-,-,-,0,0,Kenya
HA Varaiya,2007-2007,3,3,23.0,3,98,1,1/19,98.00,4.26,138.0,0,0,1,0,Kenya
SR Waters,2011-2011,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Kenya
GJ Bailey,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,1,0,Australia
JP Behrendorff,2019-2019,5,5,44.1,2,227,9,5/44,25.22,5.13,29.4,0,1,1,0,Australia
MG Bevan,1996-2003,26,10,50.0,2,237,4,2/35,59.25,4.74,75.0,0,0,6,0,Australia
AJ Bichel,2003-2003,8,8,57.0,7,197,16,7/20,12.31,3.45,21.3,0,1,2,0,Australia
DC Boon,1987-1992,16,1,1.0,0,17,0,-,-,17.00,-,0,0,2,0,Australia
AR Border,1979-1992,25,12,73.0,1,342,9,2/27,38.00,4.68,48.6,0,0,10,0,Australia
NW Bracken,2007-2007,10,10,71.4,10,258,16,4/19,16.12,3.60,26.8,1,0,2,0,Australia
AT Carey,2019-2019,10,-,-,-,-,-,-,-,-,-,-,-,18,2,Australia
GS Chappell,1975-1975,5,4,18.0,0,88,0,-,-,4.88,-,0,0,3,0,Australia
IM Chappell,1975-1975,5,2,7.0,1,23,2,2/14,11.50,3.28,21.0,0,0,0,0,Australia
TM Chappell,1983-1983,4,2,19.4,0,98,4,3/47,24.50,4.98,29.5,0,0,1,0,Australia
SR Clark,2007-2007,1,1,8.0,1,19,1,1/19,19.00,2.37,48.0,0,0,0,0,Australia
MJ Clarke,2007-2015,25,6,30.0,0,150,3,2/33,50.00,5.00,60.0,0,0,12,0,Australia
GJ Cosier,1979-1979,3,3,27.2,4,95,5,3/54,19.00,3.47,32.8,0,0,1,0,Australia
NM Coulter-Nile,2019-2019,5,5,47.0,2,280,4,2/58,70.00,5.95,70.5,0,0,0,0,Australia
PJ Cummins,2015-2019,12,12,99.2,7,507,19,3/33,26.68,5.10,31.3,0,0,6,0,Australia
AC Dale,1999-1999,2,2,15.0,3,53,1,1/18,53.00,3.53,90.0,0,0,2,0,Australia
WM Darling,1979-1979,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Australia
XJ Doherty,2015-2015,1,1,7.0,0,60,0,-,-,8.57,-,0,0,2,0,Australia
GC Dyer,1987-1987,8,-,-,-,-,-,-,-,-,-,-,-,9,2,Australia
G Dymock,1979-1979,3,3,31.0,7,64,2,1/17,32.00,2.06,93.0,0,0,0,0,Australia
R Edwards,1975-1975,5,-,-,-,-,-,-,-,-,-,-,-,0,0,Australia
JP Faulkner,2015-2015,6,6,41.5,2,197,10,3/36,19.70,4.70,25.1,0,0,2,0,Australia
AJ Finch,2015-2019,18,2,3.0,0,20,1,1/13,20.00,6.66,18.0,0,0,11,0,Australia
DW Fleming,1996-1999,16,16,133.2,12,583,26,5/36,22.42,4.37,30.7,0,1,5,0,Australia
AC Gilchrist,1999-2007,31,-,-,-,-,-,-,-,-,-,-,-,45,7,Australia
JN Gillespie,2003-2003,4,4,30.0,4,98,8,3/13,12.25,3.26,22.5,0,0,0,0,Australia
GJ Gilmour,1975-1975,2,2,24.0,8,62,11,6/14,5.63,2.58,13.0,0,2,1,0,Australia
BJ Haddin,2011-2015,15,-,-,-,-,-,-,-,-,-,-,-,29,0,Australia
PSP Handscomb,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Australia
IJ Harvey,2003-2003,6,6,36.0,3,157,8,4/58,19.62,4.36,27.0,1,0,0,0,Australia
ML Hayden,2003-2007,22,-,-,-,-,-,-,-,-,-,-,-,7,0,Australia
JR Hazlewood,2015-2015,5,5,42.5,5,176,7,4/35,25.14,4.10,36.7,1,0,0,0,Australia
IA Healy,1992-1996,14,-,-,-,-,-,-,-,-,-,-,-,18,3,Australia
AMJ Hilditch,1979-1979,3,-,-,-,-,-,-,-,-,-,-,-,1,0,Australia
BJ Hodge,2007-2007,5,1,6.0,0,17,1,1/17,17.00,2.83,36.0,0,0,4,0,Australia
TG Hogan,1983-1983,4,4,47.0,2,172,6,2/33,28.66,3.65,47.0,0,0,2,0,Australia
GB Hogg,2003-2007,21,20,158.3,10,654,34,4/27,19.23,4.12,27.9,2,0,8,0,Australia
RM Hogg,1979-1983,8,8,78.0,9,271,10,3/40,27.10,3.47,46.8,0,0,1,0,Australia
DW Hookes,1983-1983,6,-,-,-,-,-,-,-,-,-,-,-,3,0,Australia
KJ Hughes,1979-1983,8,-,-,-,-,-,-,-,-,-,-,-,3,0,Australia
MG Hughes,1992-1992,1,1,9.0,1,49,1,1/49,49.00,5.44,54.0,0,0,0,0,Australia
AG Hurst,1979-1979,3,3,32.0,6,119,7,5/21,17.00,3.71,27.4,0,1,0,0,Australia
DJ Hussey,2011-2011,4,2,9.0,1,31,2,1/12,15.50,3.44,27.0,0,0,0,0,Australia
MEK Hussey,2007-2011,15,-,-,-,-,-,-,-,-,-,-,-,6,0,Australia
MG Johnson,2011-2015,15,15,121.0,9,557,25,4/19,22.28,4.60,29.0,3,0,5,0,Australia
DM Jones,1987-1992,16,1,1.0,0,5,0,-,-,5.00,-,0,0,6,0,Australia
BP Julian,1999-1999,2,2,17.0,2,80,0,-,-,4.70,-,0,0,0,0,Australia
UT Khawaja,2019-2019,9,-,-,-,-,-,-,-,-,-,-,-,5,0,Australia
JJ Krejza,2011-2011,7,7,61.5,0,278,5,2/28,55.60,4.49,74.2,0,0,1,0,Australia
TJ Laughlin,1979-1979,1,1,9.1,0,38,2,2/38,19.00,4.14,27.5,0,0,0,0,Australia
SG Law,1996-1996,7,2,5.0,0,23,0,-,-,4.60,-,0,0,0,0,Australia
GF Lawson,1983-1983,4,4,38.0,7,127,5,3/29,25.40,3.34,45.6,0,0,0,0,Australia
B Lee,2003-2011,17,17,137.3,15,629,35,5/42,17.97,4.57,23.5,2,1,12,0,Australia
S Lee,1996-1999,4,4,19.0,3,80,1,1/25,80.00,4.21,114.0,0,0,1,0,Australia
DS Lehmann,1999-2003,19,8,38.0,0,155,6,2/22,25.83,4.07,38.0,0,0,2,0,Australia
DK Lillee,1975-1983,9,9,98.0,8,400,12,5/34,33.33,4.08,49.0,0,1,0,0,Australia
NM Lyon,2019-2019,4,4,34.0,0,181,3,2/53,60.33,5.32,68.0,0,0,1,0,Australia
RB McCosker,1975-1975,5,-,-,-,-,-,-,-,-,-,-,-,0,0,Australia
CJ McDermott,1987-1996,17,17,149.0,8,599,27,5/44,22.18,4.02,33.1,1,1,4,0,Australia
GD McGrath,1996-2007,39,39,325.5,42,1292,71,7/15,18.19,3.96,27.5,0,2,5,0,Australia
KH MacLeay,1983-1983,4,4,44.5,6,163,8,6/39,20.37,3.63,33.6,0,1,1,0,Australia
JP Maher,2003-2003,2,-,-,-,-,-,-,-,-,-,-,-,3,0,Australia
AA Mallett,1975-1975,3,3,35.0,3,156,3,1/35,52.00,4.45,70.0,0,0,1,0,Australia
GR Marsh,1987-1992,13,-,-,-,-,-,-,-,-,-,-,-,2,0,Australia
