Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role,top5_season
M Azharuddin,7,5,2,190.0,64,63.33,241,78.83,0,2,0,19,1,India,1987,23.5,0,109,5.0,3/19,21.80,4.57,28.6,0,0,2,0,INDIA,Batsman,False
M Azharuddin,8,7,0,332.0,93,47.42,425,78.11,0,4,1,29,1,India,1992,-,-,-,0.0,-,-,-,-,-,-,1,0,INDIA,Batsman,True
M Azharuddin,7,6,1,143.0,72*,28.60,194,73.71,0,1,1,10,1,India,1996,-,-,-,0.0,-,-,-,-,-,-,3,0,INDIA,Batsman,False
M Azharuddin,8,7,1,161.0,59,26.83,206,78.15,0,1,0,11,2,India,1999,-,-,-,0.0,-,-,-,-,-,-,5,0,INDIA,Batsman,False
DC Boon,8,8,0,447.0,93,55.87,583,76.67,0,5,0,38,3,Australia,1987,1.0,0,17,0.0,-,-,17.00,-,0,0,2,0,AUS,Batsman,True
DC Boon,8,8,1,368.0,100,52.57,534,68.91,2,0,0,34,2,Australia,1992,-,-,-,0.0,-,-,-,-,-,-,0,0,AUS,Batsman,True
EA Brandes,4,3,2,21.0,18*,21.00,15,140.00,0,0,1,1,2,Zimbabwe,1987,33.0,4,154,2.0,2/44,77.00,4.66,99.0,0,0,2,0,ZIM,Bowler,False
EA Brandes,8,6,1,71.0,23,14.20,101,70.29,0,0,0,5,1,Zimbabwe,1992,70.1,7,355,14.0,4/21,25.35,5.05,30.0,1,0,2,0,ZIM,Bowler,True
EA Brandes,2,1,0,7.0,7,7.00,13,53.84,0,0,0,1,0,Zimbabwe,1996,15.0,0,77,0.0,-,-,5.13,-,0,0,0,0,ZIM,Bowler,False
EA Brandes,2,2,1,21.0,19*,21.00,34,61.76,0,0,0,1,1,Zimbabwe,1999,11.0,0,55,0.0,-,-,5.00,-,0,0,1,0,ZIM,Bowler,False
MD Crowe,6,6,0,222.0,72,37.00,235,94.46,0,3,0,21,1,NewZealand,1987,-,-,-,0.0,-,-,-,-,-,-,4,0,NZ,Batsman,False
MD Crowe,9,9,5,456.0,100*,114.00,502,90.83,1,4,0,45,6,NewZealand,1992,1.0,0,6,0.0,-,-,6.00,-,0,0,3,0,NZ,Batsman,True
PA de Silva,6,6,2,101.0,42,25.25,135,74.81,0,0,0,5,1,SriLanka,1987,42.0,0,217,3.0,2/43,72.33,5.16,84.0,0,0,2,0,SL,All Rounder,False
PA de Silva,8,7,0,175.0,62,25.00,257,68.09,0,1,0,9,0,SriLanka,1992,1.0,0,6,0.0,-,-,6.00,-,0,0,1,0,SL,All Rounder,False
PA de Silva,6,6,1,448.0,145,89.60,416,107.69,2,2,0,57,7,SriLanka,1996,17.0,0,87,4.0,3/42,21.75,5.11,25.5,0,0,4,0,SL,All Rounder,True
PA de Silva,5,5,0,73.0,56,14.60,122,59.83,0,1,1,9,0,SriLanka,1999,17.0,0,85,0.0,-,-,5.00,-,0,0,1,0,SL,All Rounder,False
PA de Silva,10,8,0,267.0,92,33.37,299,89.29,0,2,1,27,7,SriLanka,2003,58.0,2,276,9.0,2/36,30.66,4.75,38.6,0,0,6,0,SL,All Rounder,False
GA Gooch,8,8,0,471.0,115,58.87,670,70.29,1,3,0,45,0,England,1987,15.0,1,79,1.0,1/42,79.00,5.26,90.0,0,0,2,0,ENG,Batsman,True
GA Gooch,8,8,0,216.0,65,27.00,419,51.55,0,3,1,17,0,England,1992,-,-,-,0.0,-,-,-,-,-,-,1,0,ENG,Batsman,False
CL Hooper,6,5,2,42.0,22,14.00,65,64.61,0,0,0,4,0,WestIndies,1987,41.0,0,181,7.0,3/42,25.85,4.41,35.1,0,0,4,0,WI,All Rounder,True
