Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
RA Smith,8,8,2,193,91,32.16,333,57.95,0,1,1,20,2,England,1992
AC Waller,8,8,2,192,83*,32.00,191,100.52,0,1,1,19,5,Zimbabwe,1992
IT Botham,10,10,1,192,53,21.33,329,58.35,0,1,1,21,2,England,1992
SR Waugh,8,7,0,187,55,26.71,239,78.24,0,1,0,12,1,Australia,1992
Imran Khan,8,6,0,185,72,30.83,351,52.70,0,1,1,13,4,Pakistan,1992
PA de Silva,8,7,0,175,62,25.00,257,68.09,0,1,0,9,0,SriLanka,1992
DL Houghton,8,7,0,165,55,23.57,340,48.52,0,1,0,11,0,Zimbabwe,1992
N Kapil Dev,8,8,1,161,42,23.00,128,125.78,0,0,0,15,3,India,1992
AH Omarshah,7,7,1,160,60*,26.66,270,59.25,0,1,0,12,0,Zimbabwe,1992
SV Manjrekar,6,6,0,154,47,25.66,195,78.97,0,0,1,5,1,India,1992
PV Simmons,4,4,0,153,110,38.25,191,80.10,1,0,1,13,3,WestIndies,1992
GR Marsh,5,5,0,151,60,30.20,360,41.94,0,1,0,8,1,Australia,1992
ME Waugh,5,5,1,145,66*,36.25,144,100.69,0,1,0,8,2,Australia,1992
RT Latham,7,7,0,136,60,19.42,218,62.38,0,1,0,17,0,NewZealand,1992
JN Rhodes,9,8,1,132,43,18.85,146,90.41,0,0,0,5,1,SouthAfrica,1992
RB Richardson,8,8,1,132,56,18.85,265,49.81,0,1,0,5,2,WestIndies,1992
BM McMillan,9,5,3,125,33*,62.50,154,81.16,0,0,0,4,0,SouthAfrica,1992
CL Hooper,8,7,1,120,63,20.00,180,66.66,0,1,1,9,1,WestIndies,1992
K Srikkanth,8,8,1,117,40,16.71,211,55.45,0,0,3,14,0,India,1992
Saleem Malik,10,9,3,116,51,19.33,150,77.33,0,1,1,8,0,Pakistan,1992
AP Kuiper,9,8,1,113,36,16.14,158,71.51,0,0,0,9,1,SouthAfrica,1992
WJ Cronje,8,6,3,102,47*,34.00,148,68.91,0,0,0,6,0,SouthAfrica,1992
AL Logie,8,7,0,101,61,14.42,133,75.93,0,1,1,10,2,WestIndies,1992
SR Tendulkar,7,7,1,523,137,87.16,609,85.87,2,3,0,57,7,India,1996
ME Waugh,7,7,1,484,130,80.66,563,85.96,3,1,1,40,6,Australia,1996
PA de Silva,6,6,1,448,145,89.60,416,107.69,2,2,0,57,7,SriLanka,1996
G Kirsten,6,6,1,391,188*,78.20,434,90.09,1,1,0,33,4,SouthAfrica,1996
Saeed Anwar,6,6,2,329,83*,82.25,343,95.91,0,3,0,29,5,Pakistan,1996
AP Gurusinha,6,6,0,307,87,51.16,408,75.24,0,3,0,25,11,SriLanka,1996
WJ Cronje,6,6,1,276,78,55.20,316,87.34,0,2,0,20,6,SouthAfrica,1996
AC Hudson,4,4,0,275,161,68.75,271,101.47,1,1,0,32,4,SouthAfrica,1996
Aamer Sohail,6,6,0,272,111,45.33,332,81.92,1,2,0,35,1,Pakistan,1996
BC Lara,6,6,1,269,111,53.80,256,105.07,1,1,0,33,2,WestIndies,1996
DJ Cullinan,6,6,2,255,69,63.75,305,83.60,0,2,0,16,3,SouthAfrica,1996
GP Thorpe,6,6,2,254,89,63.50,333,76.27,0,2,0,19,1,England,1996
A Ranatunga,6,6,4,241,75*,120.50,210,114.76,0,1,0,29,2,SriLanka,1996
RB Richardson,6,6,2,236,93*,59.00,371,63.61,0,1,0,22,1,WestIndies,1996
RT Ponting,7,7,0,229,102,32.71,327,70.03,1,0,1,16,1,Australia,1996
SR Waugh,7,7,2,226,82,45.20,285,79.29,0,3,0,14,2,Australia,1996
ST Jayasuriya,6,6,0,221,82,36.83,168,131.54,0,2,0,29,8,SriLanka,1996
GA Hick,5,5,1,212,104*,53.00,285,74.38,1,1,0,16,2,England,1996
S Chanderpaul,6,6,0,211,80,35.16,354,59.60,0,2,0,22,0,WestIndies,1996
SG Law,7,6,2,204,72,51.00,238,85.71,0,1,0,12,2,Australia,1996
Ijaz Ahmed,6,6,1,197,70,39.40,266,74.06,0,2,1,13,2,Pakistan,1996
SO Tikolo,6,5,0,196,96,39.20,242,80.99,0,2,1,16,6,Kenya,1996
SP Fleming,6,6,0,193,66,32.16,277,69.67,0,1,0,20,0,NewZealand,1996
MA Taylor,7,7,0,193,74,27.57,299,64.54,0,2,0,22,2,Australia,1996
LK Germon,6,6,3,191,89,63.66,225,84.88,0,1,0,13,1,NewZealand,1996
CM Spearman,6,6,0,191,78,31.83,191,100.00,0,2,0,26,0,NewZealand,1996
NS Sidhu,5,5,0,178,93,35.60,255,69.80,0,2,0,16,0,India,1996
VG Kambli,7,7,3,176,106,44.00,227,77.53,1,0,1,16,1,India,1996
RG Twose,6,6,0,175,92,29.16,237,73.83,0,1,0,12,0,NewZealand,1996
KJJ van Noortwijk,5,5,1,168,64,42.00,268,62.68,0,1,0,12,3,Netherlands,1996
AC Waller,6,6,0,162,67,27.00,263,61.59,0,1,0,17,0,Zimbabwe,1996
PE Cantrell,5,5,0,160,47,32.00,307,52.11,0,0,0,14,0,Netherlands,1996
CZ Harris,4,4,0,156,130,39.00,173,90.17,1,0,0,14,4,NewZealand,1996
GW Flower,6,6,1,150,45,30.00,296,50.67,0,0,0,11+,0+,Zimbabwe,1996
KO Otieno,6,5,0,147,85,29.40,279,52.68,0,1,0,12,2,Kenya,1996
Inzamam-ul-Haq,6,5,2,145,53*,48.33,167,86.82,0,1,0,14,2,Pakistan,1996
AC Parore,5,5,0,144,55,28.80,168,85.71,0,1,0,3,3,NewZealand,1996
A Jadeja,7,6,1,144,53,28.80,168,85.71,0,1,1,11,5,India,1996
M Azharuddin,7,6,1,143,72*,28.60,194,73.71,0,1,1,10,1,India,1996
SV Manjrekar,5,5,0,141,62,28.20,246,57.31,0,1,0,10,1,India,1996
