Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
DO Obuya,2,2,0,5,4,2.50,22,22.72,0,0,0,0,0,Kenya,2007
NN Odhiambo,1,-,-,-,-,-,-,-,-,-,-,-,-,Kenya,2007
TM Odoyo,3,2,0,46,42,23.00,78,58.97,0,0,0,4,1,Kenya,2007
PJ Ongondo,3,2,0,7,4,3.50,24,29.16,0,0,0,0,0,Kenya,2007
LN Onyango,2,2,0,16,10,8.00,35,45.71,0,0,0,0,0,Kenya,2007
JDP Oram,9,7,2,165,63*,33.00,234,70.51,0,1,0,5,5,NewZealand,2007
H Osinde,2,2,0,1,1,0.50,3,33.33,0,0,1,0,0,Canada,2007
MA Ouma,3,3,0,75,58,25.00,155,48.38,0,1,0,8,1,Kenya,2007
SD Outerbridge,2,2,0,9,9,4.50,20,45.00,0,0,1,1,0,Bermuda,2007
MS Panesar,8,2,1,3,2,3.00,30,10.00,0,0,0,0,0,England,2007
JS Patel,6,2,1,34,34,34.00,39,87.17,0,0,0,2,1,NewZealand,2007
MM Patel,3,2,0,25,15,12.50,32,78.12,0,0,0,3,0,India,2007
RJ Peterson,2,2,2,12,8*,-,16,75.00,0,0,0,2,0,SouthAfrica,2007
KP Pietersen,9,9,1,444,104,55.50,548,81.02,2,3,0,36,5,England,2007
OL Pitcher,3,3,0,28,22,9.33,81,34.56,0,0,1,2,0,Bermuda,2007
LE Plunkett,3,2,1,31,29*,31.00,37,83.78,0,0,0,1,1,England,2007
KA Pollard,1,1,0,10,10,10.00,17,58.82,0,0,0,1,0,WestIndies,2007
SM Pollock,10,7,3,63,21*,15.75,93,67.74,0,0,0,3,1,SouthAfrica,2007
RT Ponting,11,9,1,539,113,67.37,565,95.39,1,4,0,53,11,Australia,2007
NS Poonia,2,2,0,1,1,0.50,6,16.66,0,0,1,0,0,Scotland,2007
WTS Porterfield,9,9,0,172,85,19.11,379,45.38,0,1,2,7,0,Ireland,2007
DBL Powell,9,6,2,56,48*,14.00,52,107.69,0,0,2,2,3,WestIndies,2007
AG Prince,9,6,1,107,47*,21.40,136,78.67,0,0,1,8,1,SouthAfrica,2007
Qaiser Ali,1,1,0,6,6,6.00,16,37.50,0,0,0,1,0,Canada,2007
EC Rainsford,1,1,0,1,1,1.00,1,100.00,0,0,0,0,0,Zimbabwe,2007
D Ramdin,9,6,1,84,52,16.80,94,89.36,0,1,0,9,0,WestIndies,2007
WB Rankin,9,4,3,15,7*,15.00,45,33.33,0,0,1,1,0,Ireland,2007
DJ Reekers,3,3,0,38,25,12.66,33,115.15,0,0,0,8,0,Netherlands,2007
GA Rogers,3,2,0,32,26,16.00,49,65.30,0,0,0,5,0,Scotland,2007
IH Romaine,3,3,0,11,11,3.66,32,34.37,0,0,2,2,0,Bermuda,2007
AM Samad,3,3,0,60,36,20.00,113,53.09,0,0,0,5,1,Canada,2007
MN Samuels,8,8,1,216,63,30.85,285,75.78,0,2,0,22,6,WestIndies,2007
KT Sandher,1,1,0,2,2,2.00,6,33.33,0,0,0,0,0,Canada,2007
KC Sangakkara,11,11,1,350,76,35.00,465,75.26,0,4,1,30,2,SriLanka,2007
RR Sarwan,9,9,1,375,92,46.87,481,77.96,0,2,0,32,5,WestIndies,2007
V Sehwag,3,3,0,164,114,54.66,139,117.98,1,0,0,22,4,India,2007
RD Shah,3,3,0,81,71,27.00,126,64.28,0,1,0,8,2,Kenya,2007
Shahadat Hossain,1,1,1,0,0*,-,2,0.00,0,0,0,0,0,Bangladesh,2007
Shahid Afridi,1,1,0,16,16,16.00,10,160.00,0,0,0,1,1,Pakistan,2007
Shahriar Nafees,6,6,0,31,12,5.16,76,40.78,0,0,1,2,1,Bangladesh,2007
Shakib Al Hasan,9,9,2,202,57*,28.85,353,57.22,0,2,1,15,3,Bangladesh,2007
Shoaib Malik,3,3,0,92,62,30.66,111,82.88,0,1,0,10,2,Pakistan,2007
V Sibanda,3,3,0,68,67,22.66,95,71.57,0,1,1,9,0,Zimbabwe,2007
LPC Silva,11,10,2,350,64,43.75,452,77.43,0,4,0,28,4,SriLanka,2007
LMP Simmons,1,1,1,14,14*,-,26,53.84,0,0,0,2,0,WestIndies,2007
CJ Smith,1,1,0,0,0,0.00,5,0.00,0,0,1,0,0,Bermuda,2007
CJO Smith,3,3,0,85,51,28.33,129,65.89,0,1,0,13,0,Scotland,2007
DR Smith,6,4,0,49,32,12.25,30,163.33,0,0,1,3,4,WestIndies,2007
DS Smith,3,3,0,99,61,33.00,145,68.27,0,1,0,10,0,WestIndies,2007
GC Smith,10,10,1,443,91,49.22,424,104.48,0,5,0,55,6,SouthAfrica,2007
J Smits,3,1,0,3,3,3.00,12,25.00,0,0,0,0,0,Netherlands,2007
WF Stelling,2,1,1,1,1*,-,4,25.00,0,0,0,0,0,Netherlands,2007
AJ Strauss,4,4,0,83,46,20.75,126,65.87,0,0,0,5,2,England,2007
SB Styris,10,9,3,499,111*,83.16,598,83.44,1,4,0,45,6,NewZealand,2007
AO Suji,1,1,0,14,14,14.00,29,48.27,0,0,0,2,0,Kenya,2007
Syed Rasel,7,4,0,16,10,4.00,34,47.05,0,0,1,2,0,Bangladesh,2007
A Symonds,9,8,5,189,63*,63.00,192,98.43,0,1,0,19,4,Australia,2007
ES Szwarczynski,2,2,0,24,12,12.00,42,57.14,0,0,0,5,0,Netherlands,2007
SW Tait,11,-,-,-,-,-,-,-,-,-,-,-,-,Australia,2007
Tamim Iqbal,9,9,0,172,51,19.11,275,62.54,0,1,0,25,2,Bangladesh,2007
Tapash Baisya,1,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh,2007
BRM Taylor,3,3,0,87,50,29.00,178,48.87,0,1,0,5,1,Zimbabwe,2007
JE Taylor,7,4,0,37,13,9.25,41,90.24,0,0,0,4,0,WestIndies,2007
LRPL Taylor,6,6,0,107,85,17.83,158,67.72,0,1,2,10,1,NewZealand,2007
RN ten Doeschate,3,3,1,128,70*,64.00,148,86.48,0,2,0,21,2,Netherlands,2007
SR Tendulkar,3,3,1,64,57*,32.00,58,110.34,0,1,1,3,4,India,2007
WU Tharanga,11,11,0,298,73,27.09,446,66.81,0,3,1,27,2,SriLanka,2007
SO Tikolo,3,3,1,155,76,77.50,189,82.01,0,2,0,16,1,Kenya,2007
JJ Tucker,3,3,0,13,9,4.33,33,39.39,0,0,1,2,0,Bermuda,2007
DR Tuffey,1,-,-,-,-,-,-,-,-,-,-,-,-,NewZealand,2007
Umar Gul,3,3,0,11,10,3.66,20,55.00,0,0,1,2,0,Pakistan,2007
RV Uthappa,3,3,0,30,18,10.00,48,62.50,0,0,0,4,0,India,2007
P Utseya,3,2,1,5,4*,5.00,8,62.50,0,0,0,0,0,Zimbabwe,2007
WPUJC Vaas,10,4,2,34,19*,17.00,39,87.17,0,0,1,2,1,SriLanka,2007
DLS van Bunge,3,2,0,38,33,19.00,49,77.55,0,0,0,5,1,Netherlands,2007
LP van Troost,2,2,0,5,5,2.50,10,50.00,0,0,1,1,0,Netherlands,2007
HA Varaiya,3,2,2,5,4*,-,23,21.73,0,0,0,0,0,Kenya,2007
MP Vaughan,9,9,0,209,79,23.22,309,67.63,0,1,1,24,2,England,2007
DL Vettori,10,5,1,28,14*,7.00,29,96.55,0,0,1,3,0,NewZealand,2007
L Vincent,3,3,0,101,101,33.66,127,79.52,1,0,2,9,1,NewZealand,2007
RR Watson,3,3,0,53,31,17.66,107,49.53,0,0,0,7,0,Scotland,2007
SR Watson,8,6,5,145,65*,145.00,85,170.58,0,1,0,13,6,Australia,2007
DF Watts,2,2,0,33,24,16.50,69,47.82,0,0,0,2,1,Scotland,2007
AR White,8,8,0,128,38,16.00,173,73.98,0,0,1,13,0,Ireland,2007
SC Williams,3,3,1,95,70*,47.50,110,86.36,0,1,0,9,1,Zimbabwe,2007
CM Wright,2,2,0,5,4,2.50,28,17.85,0,0,0,0,0,Scotland,2007
Younis Khan,3,3,0,37,28,12.33,47,78.72,0,0,1,3,1,Pakistan,2007
Yuvraj Singh,3,3,0,136,83,45.33,116,117.24,0,1,0,6,8,India,2007
B Zuiderent,3,3,1,53,43*,26.50,95,55.78,0,0,0,7,0,Netherlands,2007
Abdul Razzaq,8,6,2,104,62,26.00,125,83.20,0,1,0,13,0,Pakistan,2011
Abdur Razzak,6,5,1,15,11,3.75,34,44.11,0,0,1,0,0,Bangladesh,2011
Abdur Rehman,5,2,1,6,5*,6.00,13,46.15,0,0,0,0,0,Pakistan,2011
Adeel Raja,2,2,0,0,0,0.00,5,0.00,0,0,2,0,0,Netherlands,2011
Ahmed Shehzad,5,5,0,44,13,8.80,91,48.35,0,0,0,7,0,Pakistan,2011
HM Amla,7,7,0,306,113,43.71,349,87.67,1,2,0,25,1,SouthAfrica,2011
JM Anderson,5,2,2,4,2*,-,11,36.36,0,0,0,0,0,England,2011
Asad Shafiq,4,3,1,154,78*,77.00,217,70.96,0,1,0,14,0,Pakistan,2011
R Ashwin,2,1,1,10,10*,-,7,142.85,0,0,0,1,0,India,2011
A Bagai,6,6,1,225,84,45.00,322,69.87,0,2,1,27,0,Canada,2011
HS Baidwan,6,5,2,54,17,18.00,79,68.35,0,0,1,6,0,Canada,2011
WD Balaji Rao,6,5,0,22,9,4.40,41,53.65,0,0,0,2,0,Canada,2011
W Barresi,6,6,0,153,44,25.50,232,65.94,0,0,1,18,2,Netherlands,2011
IR Bell,7,7,0,245,81,35.00,307,79.80,0,2,0,16,2,England,2011
SJ Benn,6,5,1,16,6,4.00,35,45.71,0,0,0,1,0,WestIndies,2011
HK Bennett,4,2,1,0,0*,0.00,4,0.00,0,0,1,0,0,NewZealand,2011
D Bishoo,3,3,2,6,6*,6.00,15,40.00,0,0,1,1,0,WestIndies,2011
RS Bopara,5,5,1,141,60,35.25,212,66.50,0,1,0,7,2,England,2011
PW Borren,6,6,1,173,84,34.60,192,90.10,0,1,0,18,2,Netherlands,2011
AC Botha,2,2,0,22,22,11.00,43,51.16,0,0,1,2,0,Ireland,2011
J Botha,5,4,1,58,23,19.33,59,98.30,0,0,0,5,1,SouthAfrica,2011
DJ Bravo,1,1,0,40,40,40.00,37,108.10,0,0,0,1,3,WestIndies,2011
DM Bravo,7,7,1,139,73,23.16,196,70.91,0,1,2,12,4,WestIndies,2011
TT Bresnan,7,5,1,41,20*,10.25,50,82.00,0,0,0,2,1,England,2011
SCJ Broad,3,1,0,0,0,0.00,3,0.00,0,0,1,0,0,England,2011
Mudassar Bukhari,6,6,1,68,24,13.60,90,75.55,0,0,1,4,3,Netherlands,2011
AF Buurman,2,2,0,26,26,13.00,32,81.25,0,0,1,4,0,Netherlands,2011
RW Chakabva,5,5,0,50,35,10.00,109,45.87,0,0,2,4,0,Zimbabwe,2011
S Chanderpaul,5,4,1,114,44*,38.00,225,50.66,0,0,0,4,2,WestIndies,2011
PP Chawla,3,1,0,2,2,2.00,4,50.00,0,0,0,0,0,India,2011
E Chigumbura,6,6,1,96,38,19.20,135,71.11,0,0,0,8,2,Zimbabwe,2011
MJ Clarke,7,6,3,233,93,77.66,256,91.01,0,2,0,20,1,Australia,2011
PD Collingwood,4,4,1,61,30*,20.33,52,117.30,0,0,0,3,1,England,2011
TLW Cooper,6,6,1,174,55*,34.80,259,67.18,0,1,0,18,0,Netherlands,2011
CK Coventry,3,3,0,18,14,6.00,36,50.00,0,0,1,1,1,Zimbabwe,2011
AG Cremer,6,5,2,99,37,33.00,144,68.75,0,0,0,8,0,Zimbabwe,2011
AR Cusack,5,4,0,80,47,20.00,104,76.92,0,0,0,7,1,Ireland,2011
JM Davison,5,5,1,33,15,8.25,43,76.74,0,0,2,6,0,Canada,2011
TN de Grooth,5,5,0,50,28,10.00,88,56.81,0,0,0,3,0,Netherlands,2011
PA Desai,1,-,-,-,-,-,-,-,-,-,-,-,-,Canada,2011
AB de Villiers,5,5,1,353,134,88.25,326,108.28,2,1,0,31,7,SouthAfrica,2011
MS Dhoni,9,8,3,241,91*,48.20,295,81.69,0,1,0,19,3,India,2011
TM Dilshan,9,9,1,500,144,62.50,551,90.74,2,2,0,61,4,SriLanka,2011
GH Dockrell,6,4,1,42,19,14.00,53,79.24,0,0,0,6,0,Ireland,2011
JP Duminy,7,7,1,224,99,37.33,229,97.81,0,1,1,12,6,SouthAfrica,2011
F du Plessis,7,6,2,159,52,39.75,189,84.12,0,1,0,10,3,SouthAfrica,2011
KA Edwards,1,1,0,17,17,17.00,17,100.00,0,0,0,1,1,WestIndies,2011
CR Ervine,6,6,0,231,85,38.50,269,85.87,0,3,1,24,3,Zimbabwe,2011
JEC Franklin,6,4,1,52,31*,17.33,42,123.80,0,0,1,4,3,NewZealand,2011
G Gambhir,9,9,0,393,97,43.66,462,85.06,0,4,0,37,0,India,2011
CH Gayle,5,5,1,170,80,42.50,179,94.97,0,1,0,23,3,WestIndies,2011
TG Gordon,4,4,0,23,9,5.75,53,43.39,0,0,0,2,0,Canada,2011
R Gunasekera,5,5,0,53,24,10.60,124,42.74,0,0,0,5,0,Canada,2011
MJ Guptill,8,8,2,262,86*,43.66,382,68.58,0,2,0,27,4,NewZealand,2011
BJ Haddin,7,6,0,332,88,55.33,421,78.85,0,4,0,40,5,Australia,2011
AS Hansra,6,6,1,215,70*,43.00,373,57.64,0,2,0,16,5,Canada,2011
Harbhajan Singh,9,4,0,18,12,4.50,31,58.06,0,0,1,2,0,India,2011
HMRKB Herath,4,1,1,4,4*,-,10,40.00,0,0,0,0,0,SriLanka,2011
JM How,2,2,0,26,22,13.00,76,34.21,0,0,0,1,0,NewZealand,2011
DJ Hussey,4,2,1,52,38*,52.00,34,152.94,0,0,0,4,2,Australia,2011
MEK Hussey,4,3,0,69,54,23.00,74,93.24,0,1,0,4,0,Australia,2011
Imran Tahir,5,2,2,1,1*,-,2,50.00,0,0,0,0,0,SouthAfrica,2011
Imrul Kayes,6,6,1,188,73*,37.60,277,67.87,0,2,0,21,0,Bangladesh,2011
CA Ingram,1,1,0,46,46,46.00,43,106.97,0,0,0,7,0,SouthAfrica,2011
DPMD Jayawardene,9,7,1,304,103*,50.66,304,100.00,2,1,0,32,1,SriLanka,2011
MG Johnson,7,4,3,25,12*,25.00,19,131.57,0,0,1,3,0,Australia,2011
DT Johnston,5,4,1,42,17,14.00,46,91.30,0,0,0,4,1,Ireland,2011
EC Joyce,6,6,0,176,84,29.33,264,66.66,0,1,0,18,0,Ireland,2011
Junaid Siddique,6,6,0,114,37,19.00,159,71.69,0,0,0,11,1,Bangladesh,2011
JH Kallis,7,7,0,225,69,32.14,309,72.81,0,2,0,18,1,SouthAfrica,2011
S Randiv,1,-,-,-,-,-,-,-,-,-,-,-,-,SriLanka,2011
JK Kamande,5,5,1,27,22,6.75,80,33.75,0,0,0,3,0,Kenya,2011
Kamran Akmal,8,7,1,207,55,34.50,278,74.46,0,1,0,28,0,Pakistan,2011
CK Kapugedera,2,2,0,3,2,1.50,8,37.50,0,0,0,0,0,SriLanka,2011
AN Kervezee,6,6,0,81,18,13.50,126,64.28,0,0,0,10,0,Netherlands,2011
Z Khan,9,4,0,18,9,4.50,21,85.71,0,0,1,2,0,India,2011
Khurram Chohan,4,4,1,39,22,13.00,66,59.09,0,0,0,4,1,Canada,2011
V Kohli,9,9,1,282,100*,35.25,343,82.21,1,1,0,24,2,India,2011
JJ Krejza,7,1,0,7,7,7.00,19,36.84,0,0,0,0,0,Australia,2011
BP Kruger,1,1,0,8,8,8.00,12,66.66,0,0,0,1,0,Netherlands,2011
KMDN Kulasekara,6,4,1,64,32,21.33,53,120.75,0,0,0,4,2,SriLanka,2011
NR Kumar,3,3,0,10,7,3.33,41,24.39,0,0,0,0,0,Canada,2011
GA Lamb,5,5,1,62,18,15.50,86,72.09,0,0,1,4,1,Zimbabwe,2011
B Lee,7,1,0,5,5,5.00,8,62.50,0,0,0,1,0,Australia,2011
BP Loots,4,3,1,6,6,3.00,8,75.00,0,0,1,0,1,Netherlands,2011
BB McCullum,8,8,2,256,101,42.66,277,92.41,1,1,0,28,6,NewZealand,2011
NL McCullum,8,6,0,100,52,16.66,130,76.92,0,1,0,6,3,NewZealand,2011
AJ McKay,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,NewZealand,2011
Mahmudullah,4,3,1,32,21*,16.00,65,49.23,0,0,0,2,0,Bangladesh,2011
SL Malinga,7,1,0,6,6,6.00,4,150.00,0,0,0,0,1,SriLanka,2011
SW Masakadza,1,-,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe,2011
AD Mathews,8,5,2,94,41*,31.33,90,104.44,0,0,1,10,1,SriLanka,2011
BAW Mendis,6,1,1,0,0*,-,2,0.00,0,0,0,0,0,SriLanka,2011
NO Miller,3,2,2,16,11*,-,13,123.07,0,0,0,2,0,WestIndies,2011
KD Mills,3,1,1,7,7*,-,3,233.33,0,0,0,1,0,NewZealand,2011
Misbah-ul-Haq,8,6,1,248,83*,49.60,336,73.80,0,3,1,13,3,Pakistan,2011
T Mishra,5,5,0,133,72,26.60,200,66.50,0,2,1,13,1,Kenya,2011
Mohammad Ashraful,2,2,0,12,11,6.00,27,44.44,0,0,0,2,0,Bangladesh,2011
Mohammad Hafeez,8,8,1,215,61*,30.71,265,81.13,0,1,0,32,1,Pakistan,2011
JF Mooney,6,5,1,58,33*,14.50,90,64.44,0,0,1,8,0,Ireland,2011
EJG Morgan,3,3,0,120,63,40.00,140,85.71,0,2,0,12,0,England,2011
M Morkel,6,2,0,4,3,2.00,20,20.00,0,0,0,0,0,SouthAfrica,2011
CB Mpofu,4,3,1,6,3*,3.00,21,28.57,0,0,0,0,0,Zimbabwe,2011
M Muralitharan,9,2,1,7,7,7.00,4,175.00,0,0,0,0,1,SriLanka,2011
Mushfiqur Rahim,6,6,1,81,36,16.20,153,52.94,0,0,1,6,1,Bangladesh,2011
Naeem Islam,5,5,0,40,29,8.00,75,53.33,0,0,1,4,0,Bangladesh,2011
A Nehra,3,2,0,1,1,0.50,5,20.00,0,0,1,0,0,India,2011
JO Ngoche,3,2,1,10,9,10.00,24,41.66,0,0,0,0,1,Kenya,2011
SO Ngoche,3,3,0,0,0,0.00,3,0.00,0,0,3,0,0,Kenya,2011
AA Obanda,3,3,0,43,23,14.33,65,66.15,0,0,0,4,2,Kenya,2011
KJ O'Brien,6,6,1,198,113,39.60,158,125.31,1,0,0,19,9,Ireland,2011
NJ O'Brien,6,6,1,205,57*,41.00,271,75.64,0,1,0,17,2,Ireland,2011
CO Obuya,6,6,1,243,98*,48.60,347,70.02,0,2,0,21,7,Kenya,2011
DO Obuya,4,4,0,65,51,16.25,132,49.24,0,1,1,5,0,Kenya,2011
NN Odhiambo,6,5,2,56,44*,18.66,78,71.79,0,0,2,7,0,Kenya,2011
TM Odoyo,5,5,0,102,51,20.40,143,71.32,0,1,1,11,2,Kenya,2011
PJ Ongondo,2,2,0,6,6,3.00,3,200.00,0,0,1,0,1,Kenya,2011
JDP Oram,6,4,1,59,25,19.66,51,115.68,0,0,0,5,3,NewZealand,2011
H Osinde,5,4,2,6,4,3.00,16,37.50,0,0,1,0,0,Canada,2011
E Otieno,6,5,1,13,8,3.25,37,35.13,0,0,2,1,0,Kenya,2011
MA Ouma,5,5,0,22,16,4.40,65,33.84,0,0,1,1,0,Kenya,2011
T Panyangara,2,2,1,4,4*,4.00,13,30.76,0,0,1,1,0,Zimbabwe,2011
WD Parnell,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,SouthAfrica,2011
H Patel,2,2,0,85,54,42.50,80,106.25,0,1,0,10,4,Canada,2011
MM Patel,8,4,2,1,1,0.50,3,33.33,0,0,1,0,0,India,2011
RR Patel,4,4,1,46,24,15.33,73,63.01,0,0,1,5,0,Kenya,2011
YK Pathan,6,6,1,74,30*,14.80,64,115.62,0,0,1,5,5,India,2011
NLTC Perera,4,4,1,44,22*,14.66,31,141.93,0,0,0,5,1,SriLanka,2011
RJ Peterson,7,5,3,43,22*,21.50,37,116.21,0,0,1,6,1,SouthAfrica,2011
KP Pietersen,4,4,0,131,59,32.75,136,96.32,0,1,0,17,2,England,2011
KA Pollard,7,6,0,180,94,30.00,120,150.00,0,2,1,14,11,WestIndies,2011
RT Ponting,7,6,0,206,104,34.33,284,72.53,1,0,0,15,1,Australia,2011
WTS Porterfield,6,6,0,180,75,30.00,270,66.66,0,2,1,21,1,Ireland,2011
RW Price,6,4,2,37,11,18.50,59,62.71,0,0,0,4,0,Zimbabwe,2011
MJ Prior,7,6,1,78,22*,15.60,92,84.78,0,0,0,9,0,England,2011
SK Raina,4,3,2,74,36*,74.00,75,98.66,0,0,0,5,1,India,2011
R Rampaul,2,2,0,1,1,0.50,9,11.11,0,0,1,0,0,WestIndies,2011
WB Rankin,6,4,3,9,5*,9.00,25,36.00,0,0,0,0,0,Ireland,2011
Raqibul Hasan,4,4,1,70,38,23.33,116,60.34,0,0,1,1,1,Bangladesh,2011
Rizwan Cheema,6,6,0,76,37,12.66,72,105.55,0,0,0,9,4,Canada,2011
KAJ Roach,6,4,1,19,16,6.33,53,35.84,0,0,1,2,0,WestIndies,2011
Rubel Hossain,6,4,3,11,8*,11.00,19,57.89,0,0,1,2,0,Bangladesh,2011
AD Russell,3,3,0,52,49,17.33,58,89.65,0,0,1,2,3,WestIndies,2011
JD Ryder,7,5,0,184,83,36.80,265,69.43,0,1,0,21,0,NewZealand,2011
Saeed Ajmal,3,2,1,1,1*,1.00,10,10.00,0,0,1,0,0,Pakistan,2011
TT Samaraweera,9,7,4,110,34*,36.66,149,73.82,0,0,0,10,0,SriLanka,2011
DJG Sammy,7,6,0,54,41,9.00,49,110.20,0,0,1,4,3,WestIndies,2011
KC Sangakkara,9,8,3,465,111,93.00,555,83.78,1,3,0,44,5,SriLanka,2011
RR Sarwan,7,6,0,155,49,25.83,275,56.36,0,0,0,16,1,WestIndies,2011
PM Seelaar,6,5,2,3,2*,1.00,17,17.64,0,0,2,0,0,Netherlands,2011
V Sehwag,8,8,0,380,175,47.50,310,122.58,1,1,1,49,7,India,2011
Shafiul Islam,6,5,1,26,24*,6.50,50,52.00,0,0,3,4,1,Bangladesh,2011
Shahid Afridi,8,7,0,84,20,12.00,67,125.37,0,0,0,9,1,Pakistan,2011
Shahriar Nafees,2,2,0,42,37,21.00,72,58.33,0,0,0,5,0,Bangladesh,2011
A Shahzad,2,2,1,7,6*,7.00,5,140.00,0,0,0,0,1,England,2011
Shakib Al Hasan,6,6,0,142,55,23.66,200,71.00,0,1,0,14,0,Bangladesh,2011
Shoaib Akhtar,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0,Pakistan,2011
V Sibanda,2,2,0,66,61,33.00,68,97.05,0,1,0,8,1,Zimbabwe,2011
LPC Silva,7,4,0,77,57,19.25,110,70.00,0,1,0,8,0,SriLanka,2011
DS Smith,7,7,0,300,107,42.85,391,76.72,1,2,0,32,2,WestIndies,2011
GC Smith,7,7,0,183,45,26.14,300,61.00,0,0,0,13,0,SouthAfrica,2011
SPD Smith,6,3,1,53,25,26.50,51,103.92,0,0,0,4,1,Australia,2011
Sohrawordi Shuvo,1,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh,2011
TG Southee,8,3,0,14,8,4.66,21,66.66,0,0,1,1,0,NewZealand,2011
S Sreesanth,2,-,-,-,-,-,-,-,-,-,-,-,-,India,2011
DW Steyn,6,2,0,28,20,14.00,49,57.14,0,0,0,4,0,SouthAfrica,2011
PR Stirling,6,6,0,157,101,26.16,128,122.65,1,0,1,23,3,Ireland,2011
AJ Strauss,7,7,0,334,158,47.71,357,93.55,1,1,1,34,3,England,2011
SB Styris,8,6,0,142,57,23.66,165,86.06,0,1,1,12,2,NewZealand,2011
ZE Surkari,6,6,0,104,34,17.33,231,45.02,0,0,0,7,0,Canada,2011
GP Swann,7,6,2,60,16,15.00,51,117.64,0,0,1,7,1,England,2011
ES Szwarczynski,3,3,0,57,28,19.00,109,52.29,0,0,0,4,1,Netherlands,2011
T Taibu,6,6,0,189,98,31.50,243,77.77,0,2,0,20,0,Zimbabwe,2011
SW Tait,7,1,1,0,0*,-,1,0.00,0,0,0,0,0,Australia,2011
Tamim Iqbal,6,6,0,157,70,26.16,176,89.20,0,1,2,16,1,Bangladesh,2011
BRM Taylor,6,6,0,170,80,28.33,195,87.17,0,1,1,20,1,Zimbabwe,2011
LRPL Taylor,8,6,1,324,131*,64.80,372,87.09,1,1,0,20,14,NewZealand,2011
RN ten Doeschate,6,6,1,307,119,61.40,344,89.24,2,1,0,26,5,Netherlands,2011
SR Tendulkar,9,9,0,482,120,53.55,524,91.98,2,2,0,52,8,India,2011
WU Tharanga,9,9,2,395,133,56.42,472,83.68,2,1,0,52,2,SriLanka,2011
DC Thomas,7,6,0,41,15,6.83,76,53.94,0,0,1,3,0,WestIndies,2011
SO Tikolo,5,5,0,44,13,8.80,86,51.16,0,0,0,5,0,Kenya,2011
JC Tredwell,2,1,0,9,9,9.00,20,45.00,0,0,0,0,0,England,2011
CT Tremlett,2,1,0,3,3,3.00,7,42.85,0,0,0,0,0,England,2011
IJL Trott,7,7,0,422,92,60.28,522,80.84,0,5,0,28,0,England,2011
LL Tsotsobe,1,1,1,4,4*,-,2,200.00,0,0,0,1,0,SouthAfrica,2011
Umar Akmal,7,6,1,240,71,48.00,276,86.95,0,1,0,21,5,Pakistan,2011
Umar Gul,8,3,2,38,34*,38.00,32,118.75,0,0,0,3,1,Pakistan,2011
P Utseya,6,6,1,123,36,24.60,188,65.42,0,0,0,9,1,Zimbabwe,2011
MN van Wyk,5,5,1,65,42,16.25,88,73.86,0,0,0,8,1,SouthAfrica,2011
DL Vettori,6,3,1,53,44,26.50,50,106.00,0,0,0,6,0,NewZealand,2011
Wahab Riaz,5,2,0,8,8,4.00,17,47.05,0,0,1,1,0,Pakistan,2011
SR Waters,4,4,0,38,17,9.50,90,42.22,0,0,0,3,0,Kenya,2011
SR Watson,7,6,0,290,94,48.33,314,92.35,0,3,0,32,7,Australia,2011
BA Westdijk,3,2,0,0,0,0.00,3,0.00,0,0,2,0,0,Netherlands,2011
K Whatham,1,1,0,18,18,18.00,41,43.90,0,0,0,2,0,Canada,2011
AR White,2,2,0,15,10,7.50,37,40.54,0,0,0,1,0,Ireland,2011
CL White,7,6,2,70,22*,17.50,113,61.94,0,0,0,4,0,Australia,2011
SC Williams,2,2,0,58,30,29.00,65,89.23,0,0,0,4,1,Zimbabwe,2011
KS Williamson,4,4,2,99,38*,49.50,92,107.60,0,0,0,8,1,NewZealand,2011
GC Wilson,4,4,0,122,61,30.50,145,84.13,0,1,0,12,4,Ireland,2011
LJ Woodcock,1,1,1,3,3*,-,3,100.00,0,0,0,0,0,NewZealand,2011
LJ Wright,2,2,1,45,44,45.00,60,75.00,0,0,0,5,0,England,2011
MH Yardy,3,3,0,19,13,6.33,33,57.57,0,0,0,1,0,England,2011
Younis Khan,8,7,1,185,72,30.83,261,70.88,0,2,1,11,0,Pakistan,2011
Yuvraj Singh,9,8,4,362,113,90.50,420,86.19,1,4,1,39,3,India,2011
B Zuiderent,4,4,0,17,15,4.25,46,36.95,0,0,1,1,1,Netherlands,2011
KJ Abbott,4,1,0,12,12,12.00,19,63.15,0,0,0,2,0,SouthAfrica,2015
Afsar Zazai,6,6,0,36,19,6.00,99,36.36,0,0,2,1,0,Afghanistan,2015
Aftab Alam,1,1,0,14,14,14.00,12,116.66,0,0,0,2,1,Afghanistan,2015
Ahmed Shehzad,7,7,0,227,93,32.42,313,72.52,0,2,1,24,1,Pakistan,2015
MM Ali,5,5,0,192,128,38.40,182,105.49,1,0,0,24,5,England,2015
Amjad Ali,6,6,0,96,45,16.00,185,51.89,0,0,0,11,0,UnitedArabEmirates,2015
