Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role,mean_rating,median_rating
AJ Hall,2003-2007,12,5,2,50,22*,16.66,49,102.04,0,0,1,3,1,SouthAfrica,99,8,438,19,5/18,23.05,4.42,31.2,0,1,2,0,2,Bowler,55.41666666666666,55.41666666666666
Imran Tahir,2011-2019,22,8,4,20,10*,5,34,58.82,0,0,3,1,0,SouthAfrica,191.5,7,847,40,5/45,21.17,4.41,28.7,4,1,6,0,3,Bowler,48.809523809523824,50.0
M Morkel,2011-2015,14,4,1,12,6*,4,33,36.36,0,0,0,1,0,SouthAfrica,108.3,4,506,26,3/33,19.46,4.66,25,0,0,4,0,2,Bowler,44.28571428571429,44.28571428571429
M Ntini,2003-2007,13,5,0,29,14,5.8,28,103.57,0,0,2,3,1,SouthAfrica,115.1,10,469,16,4/24,29.31,4.07,43.1,1,0,1,0,2,Bowler,58.194444444444436,58.194444444444436
DW Steyn,2011-2015,14,4,0,45,20,11.25,73,61.64,0,0,0,7,0,SouthAfrica,115,10,538,23,5/50,23.39,4.67,30,0,1,4,0,2,Bowler,62.61904761904761,62.61904761904761
SL Malinga,2007-2019,29,13,2,33,10,3,59,55.93,0,0,1,2,2,SriLanka,232.2,11,1281,56,6/38,22.87,5.51,24.8,2,1,5,0,4,Bowler,47.84722222222222,47.91666666666666
M Muralitharan,1996-2011,40,13,5,69,16,8.62,71,97.18,0,0,0,8,1,SriLanka,343.3,15,1335,68,4/19,19.63,3.88,30.3,4,0,13,0,5,Bowler,40.98786181139122,27.500000000000004
WPUJC Vaas,1996-2007,31,18,8,219,29*,21.9,296,73.98,0,0,1,16,4,SriLanka,261.4,39,1040,49,6/25,21.22,3.97,32,1,1,7,0,4,Bowler,50.11846405228758,58.986928104575156
CEL Ambrose,1992-1999,17,10,2,48,15*,6,89,53.93,0,0,0,3,1,WestIndies,164.3,20,499,24,3/28,20.79,3.03,41.1,0,0,1,0,3,Bowler,60.42717086834734,71.42857142857143
SJ Benn,2011-2015,9,7,2,26,9*,5.2,42,61.9,0,0,0,3,0,WestIndies,76.5,4,422,14,4/18,30.14,5.49,32.9,2,0,2,0,2,Bowler,69.28571428571428,69.28571428571428
BP Patterson,1987-1992,7,2,2,4,4*,-,12,33.33,0,0,0,0,0,WestIndies,66,2,278,15,3/31,18.53,4.21,26.4,0,0,2,0,2,Bowler,62.5,62.5
KAJ Roach,2011-2019,13,7,3,47,16,11.75,106,44.33,0,0,1,5,1,WestIndies,101,7,466,20,6/27,23.3,4.61,30.3,0,1,0,0,3,Bowler,73.6111111111111,87.5
JE Taylor,2007-2015,14,7,1,74,15*,12.33,89,83.14,0,0,0,9,0,WestIndies,121.3,5,634,23,3/15,27.56,5.21,31.6,0,0,1,0,3,Bowler,45.27777777777778,45.27777777777778
CA Walsh,1987-1999,17,8,3,37,9*,7.4,49,75.51,0,0,1,6,0,WestIndies,158,23,547,27,4/25,20.25,3.46,35.1,2,0,3,0,4,Bowler,52.25490196078431,50.0
EA Brandes,1987-1999,16,12,4,120,23,15,163,73.61,0,0,1,8,4,Zimbabwe,129.1,11,641,16,4/21,40.06,4.96,48.4,1,0,5,0,4,Bowler,82.14285714285714,100.0
CB Mpofu,2007-2011,7,5,1,7,3*,1.75,31,22.58,0,0,1,0,0,Zimbabwe,56,6,325,11,4/62,29.54,5.8,30.5,1,0,1,0,2,Bowler,74.80158730158729,74.80158730158729
HK Olonga,1999-2003,9,6,4,16,5*,8,61,26.22,0,0,0,1,0,Zimbabwe,43.2,2,259,9,3/22,28.77,5.97,28.8,0,0,1,0,2,Bowler,82.5,82.5
HH Streak,1996-2003,22,18,7,328,72*,29.81,447,73.37,0,1,1,24,4,Zimbabwe,175,13,804,22,3/35,36.54,4.59,47.7,0,0,7,0,3,Bowler,64.26470588235293,62.5
AJ Traicos,1983-1992,20,12,5,70,19,10,136,51.47,0,0,1,3,0,Zimbabwe,188,13,673,16,3/35,42.06,3.57,70.5,0,0,2,0,3,Bowler,80.35714285714286,80.35714285714286
JM Davison,2003-2011,14,14,1,340,111,26.15,308,110.38,1,2,3,41,13,Canada,106,7,514,17,3/15,30.23,4.84,37.4,0,0,8,0,3,Bowler,75.30423280423281,76.19047619047619
